,Method,$\widehat{\beta}$
0,active (partial),0.8686868686868687
1,active (shifted),0.98989898989899
2,active (full),0.8484848484848485
3,active (full+cocob),0.8989898989898991
4,oblivious (partial),0.888888888888889
5,sample everything,0.8989898989898991
6,active (partial),0.8787878787878789
7,active (shifted),0.98989898989899
8,active (full),0.8787878787878789
9,active (full+cocob),0.8989898989898991
10,oblivious (partial),0.9090909090909092
11,sample everything,0.8989898989898991
12,active (partial),0.8787878787878789
13,active (shifted),0.9595959595959597
14,active (full),0.888888888888889
15,active (full+cocob),0.8989898989898991
16,oblivious (partial),0.8989898989898991
17,sample everything,0.8989898989898991
18,active (partial),0.8686868686868687
19,active (shifted),0.98989898989899
20,active (full),0.9090909090909092
21,active (full+cocob),0.8585858585858587
22,oblivious (partial),0.8989898989898991
23,sample everything,0.8686868686868687
24,active (partial),0.888888888888889
25,active (shifted),1.0
26,active (full),0.8787878787878789
27,active (full+cocob),0.8686868686868687
28,oblivious (partial),0.8989898989898991
29,sample everything,0.8989898989898991
30,active (partial),0.8787878787878789
31,active (shifted),1.0
32,active (full),0.9191919191919192
33,active (full+cocob),0.8787878787878789
34,oblivious (partial),0.8787878787878789
35,sample everything,0.888888888888889
36,active (partial),0.8686868686868687
37,active (shifted),0.98989898989899
38,active (full),0.8585858585858587
39,active (full+cocob),0.8585858585858587
40,oblivious (partial),0.9090909090909092
41,sample everything,0.8989898989898991
42,active (partial),0.888888888888889
43,active (shifted),0.9494949494949496
44,active (full),0.8686868686868687
45,active (full+cocob),0.8282828282828284
46,oblivious (partial),0.9090909090909092
47,sample everything,0.8787878787878789
48,active (partial),0.8989898989898991
49,active (shifted),1.0
50,active (full),0.8989898989898991
51,active (full+cocob),0.8686868686868687
52,oblivious (partial),0.8989898989898991
53,sample everything,0.8787878787878789
54,active (partial),0.888888888888889
55,active (shifted),0.9797979797979799
56,active (full),0.9191919191919192
57,active (full+cocob),0.9090909090909092
58,oblivious (partial),0.8787878787878789
59,sample everything,0.888888888888889
60,active (partial),0.888888888888889
61,active (shifted),0.9494949494949496
62,active (full),0.9191919191919192
63,active (full+cocob),0.9090909090909092
64,oblivious (partial),0.888888888888889
65,sample everything,0.8989898989898991
66,active (partial),0.9191919191919192
67,active (shifted),0.8787878787878789
68,active (full),0.8989898989898991
69,active (full+cocob),0.9090909090909092
70,oblivious (partial),0.9090909090909092
71,sample everything,0.888888888888889
72,active (partial),0.8585858585858587
73,active (shifted),0.9595959595959597
74,active (full),0.7474747474747475
75,active (full+cocob),0.8686868686868687
76,oblivious (partial),0.888888888888889
77,sample everything,0.8484848484848485
78,active (partial),0.8989898989898991
79,active (shifted),1.0
80,active (full),0.8989898989898991
81,active (full+cocob),0.9090909090909092
82,oblivious (partial),0.888888888888889
83,sample everything,0.888888888888889
84,active (partial),0.888888888888889
85,active (shifted),0.9595959595959597
86,active (full),0.8989898989898991
87,active (full+cocob),0.9090909090909092
88,oblivious (partial),0.8686868686868687
89,sample everything,0.9090909090909092
90,active (partial),0.888888888888889
91,active (shifted),0.9696969696969697
92,active (full),0.9090909090909092
93,active (full+cocob),0.888888888888889
94,oblivious (partial),0.888888888888889
95,sample everything,0.888888888888889
96,active (partial),0.8787878787878789
97,active (shifted),0.9797979797979799
98,active (full),0.888888888888889
99,active (full+cocob),0.8585858585858587
100,oblivious (partial),0.8787878787878789
101,sample everything,0.888888888888889
102,active (partial),0.8585858585858587
103,active (shifted),0.9595959595959597
104,active (full),0.888888888888889
105,active (full+cocob),0.8686868686868687
106,oblivious (partial),0.8484848484848485
107,sample everything,0.8787878787878789
108,active (partial),0.8787878787878789
109,active (shifted),1.0
110,active (full),0.9090909090909092
111,active (full+cocob),0.9090909090909092
112,oblivious (partial),0.9090909090909092
113,sample everything,0.9090909090909092
114,active (partial),0.888888888888889
115,active (shifted),0.9595959595959597
116,active (full),0.8989898989898991
117,active (full+cocob),0.8787878787878789
118,oblivious (partial),0.888888888888889
119,sample everything,0.888888888888889
120,active (partial),0.8989898989898991
121,active (shifted),0.9797979797979799
122,active (full),0.8989898989898991
123,active (full+cocob),0.8787878787878789
124,oblivious (partial),0.8989898989898991
125,sample everything,0.8989898989898991
126,active (partial),0.8787878787878789
