,Method,$\widehat{\beta}$
0,active (partial),0.393939393939394
1,active (shifted),0.3535353535353536
2,active (full),0.38383838383838387
3,oblivious (partial),0.37373737373737376
4,sample everything,0.36363636363636365
5,active (partial),0.38383838383838387
6,active (shifted),0.3434343434343435
7,active (full),0.38383838383838387
8,oblivious (partial),0.37373737373737376
9,sample everything,0.36363636363636365
10,active (partial),0.4040404040404041
11,active (shifted),0.37373737373737376
12,active (full),0.4040404040404041
13,oblivious (partial),0.37373737373737376
14,sample everything,0.37373737373737376
15,active (partial),0.37373737373737376
16,active (shifted),0.33333333333333337
17,active (full),0.36363636363636365
18,oblivious (partial),0.36363636363636365
19,sample everything,0.3434343434343435
20,active (partial),0.38383838383838387
21,active (shifted),0.32323232323232326
22,active (full),0.38383838383838387
23,oblivious (partial),0.36363636363636365
24,sample everything,0.32323232323232326
25,active (partial),0.393939393939394
26,active (shifted),0.36363636363636365
27,active (full),0.38383838383838387
28,oblivious (partial),0.37373737373737376
29,sample everything,0.36363636363636365
30,active (partial),0.38383838383838387
31,active (shifted),0.3434343434343435
32,active (full),0.37373737373737376
33,oblivious (partial),0.36363636363636365
34,sample everything,0.36363636363636365
35,active (partial),0.37373737373737376
36,active (shifted),0.33333333333333337
37,active (full),0.37373737373737376
38,oblivious (partial),0.37373737373737376
39,sample everything,0.33333333333333337
40,active (partial),0.38383838383838387
41,active (shifted),0.30303030303030304
42,active (full),0.37373737373737376
43,oblivious (partial),0.37373737373737376
44,sample everything,0.30303030303030304
45,active (partial),0.38383838383838387
46,active (shifted),0.3535353535353536
47,active (full),0.38383838383838387
48,oblivious (partial),0.37373737373737376
49,sample everything,0.36363636363636365
50,active (partial),0.4040404040404041
51,active (shifted),0.3434343434343435
52,active (full),0.393939393939394
53,oblivious (partial),0.36363636363636365
54,sample everything,0.3434343434343435
55,active (partial),0.38383838383838387
56,active (shifted),0.3434343434343435
57,active (full),0.38383838383838387
58,oblivious (partial),0.37373737373737376
59,sample everything,0.3434343434343435
60,active (partial),0.37373737373737376
61,active (shifted),0.3434343434343435
62,active (full),0.36363636363636365
63,oblivious (partial),0.36363636363636365
64,sample everything,0.3434343434343435
65,active (partial),0.37373737373737376
66,active (shifted),0.33333333333333337
67,active (full),0.37373737373737376
68,oblivious (partial),0.37373737373737376
69,sample everything,0.3535353535353536
70,active (partial),0.37373737373737376
71,active (shifted),0.33333333333333337
72,active (full),0.37373737373737376
73,oblivious (partial),0.36363636363636365
74,sample everything,0.3535353535353536
75,active (partial),0.38383838383838387
76,active (shifted),0.3434343434343435
77,active (full),0.38383838383838387
78,oblivious (partial),0.37373737373737376
79,sample everything,0.36363636363636365
80,active (partial),0.37373737373737376
81,active (shifted),0.3434343434343435
82,active (full),0.37373737373737376
83,oblivious (partial),0.36363636363636365
84,sample everything,0.3434343434343435
85,active (partial),0.4040404040404041
86,active (shifted),0.36363636363636365
87,active (full),0.393939393939394
88,oblivious (partial),0.37373737373737376
89,sample everything,0.393939393939394
90,active (partial),0.37373737373737376
91,active (shifted),0.33333333333333337
92,active (full),0.36363636363636365
93,oblivious (partial),0.3535353535353536
94,sample everything,0.33333333333333337
95,active (partial),0.38383838383838387
96,active (shifted),0.33333333333333337
97,active (full),0.38383838383838387
98,oblivious (partial),0.37373737373737376
99,sample everything,0.3535353535353536
100,active (partial),0.38383838383838387
101,active (shifted),0.3434343434343435
102,active (full),0.37373737373737376
103,oblivious (partial),0.36363636363636365
104,sample everything,0.37373737373737376
105,active (partial),0.37373737373737376
106,active (shifted),0.33333333333333337
107,active (full),0.36363636363636365
108,oblivious (partial),0.36363636363636365
109,sample everything,0.3535353535353536
110,active (partial),0.38383838383838387
111,active (shifted),0.33333333333333337
112,active (full),0.37373737373737376
113,oblivious (partial),0.37373737373737376
114,sample everything,0.33333333333333337
115,active (partial),0.38383838383838387
116,active (shifted),0.3535353535353536
117,active (full),0.37373737373737376
118,oblivious (partial),0.37373737373737376
119,sample everything,0.36363636363636365
120,active (partial),0.37373737373737376
121,active (shifted),0.3434343434343435
122,active (full),0.37373737373737376
123,oblivious (partial),0.36363636363636365
124,sample everything,0.37373737373737376
125,active (partial),0.36363636363636365
126,active (shifted),0.3434343434343435
127,active (full),0.36363636363636365
128,oblivious (partial),0.36363636363636365
129,sample everything,0.36363636363636365
130,active (partial),0.37373737373737376
131,active (shifted),0.3434343434343435
132,active (full),0.36363636363636365
133,oblivious (partial),0.37373737373737376
134,sample everything,0.3535353535353536
135,active (partial),0.393939393939394
136,active (shifted),0.3535353535353536
137,active (full),0.38383838383838387
138,oblivious (partial),0.36363636363636365
139,sample everything,0.36363636363636365
140,active (partial),0.38383838383838387
141,active (shifted),0.33333333333333337
142,active (full),0.37373737373737376
143,oblivious (partial),0.36363636363636365
144,sample everything,0.3434343434343435
145,active (partial),0.393939393939394
146,active (shifted),0.3535353535353536
147,active (full),0.38383838383838387
148,oblivious (partial),0.37373737373737376
149,sample everything,0.37373737373737376
150,active (partial),0.38383838383838387
151,active (shifted),0.33333333333333337
152,active (full),0.38383838383838387
153,oblivious (partial),0.37373737373737376
154,sample everything,0.33333333333333337
155,active (partial),0.393939393939394
156,active (shifted),0.36363636363636365
157,active (full),0.38383838383838387
158,oblivious (partial),0.37373737373737376
159,sample everything,0.38383838383838387
160,active (partial),0.37373737373737376
161,active (shifted),0.31313131313131315
162,active (full),0.37373737373737376
163,oblivious (partial),0.3535353535353536
164,sample everything,0.31313131313131315
165,active (partial),0.37373737373737376
166,active (shifted),0.32323232323232326
167,active (full),0.37373737373737376
168,oblivious (partial),0.36363636363636365
169,sample everything,0.33333333333333337
170,active (partial),0.4040404040404041
171,active (shifted),0.3535353535353536
172,active (full),0.393939393939394
173,oblivious (partial),0.37373737373737376
174,sample everything,0.36363636363636365
175,active (partial),0.38383838383838387
176,active (shifted),0.36363636363636365
177,active (full),0.38383838383838387
178,oblivious (partial),0.36363636363636365
179,sample everything,0.4040404040404041
180,active (partial),0.38383838383838387
181,active (shifted),0.33333333333333337
182,active (full),0.37373737373737376
183,oblivious (partial),0.36363636363636365
184,sample everything,0.3434343434343435
185,active (partial),0.38383838383838387
186,active (shifted),0.3535353535353536
187,active (full),0.38383838383838387
188,oblivious (partial),0.37373737373737376
189,sample everything,0.393939393939394
190,active (partial),0.37373737373737376
191,active (shifted),0.3535353535353536
192,active (full),0.37373737373737376
193,oblivious (partial),0.37373737373737376
194,sample everything,0.3535353535353536
195,active (partial),0.37373737373737376
196,active (shifted),0.3434343434343435
197,active (full),0.37373737373737376
198,oblivious (partial),0.36363636363636365
199,sample everything,0.3434343434343435
200,active (partial),0.37373737373737376
201,active (shifted),0.33333333333333337
202,active (full),0.36363636363636365
203,oblivious (partial),0.36363636363636365
204,sample everything,0.33333333333333337
205,active (partial),0.38383838383838387
206,active (shifted),0.32323232323232326
207,active (full),0.37373737373737376
208,oblivious (partial),0.37373737373737376
209,sample everything,0.32323232323232326
210,active (partial),0.38383838383838387
211,active (shifted),0.3434343434343435
212,active (full),0.37373737373737376
213,oblivious (partial),0.37373737373737376
214,sample everything,0.36363636363636365
215,active (partial),0.37373737373737376
216,active (shifted),0.3434343434343435
217,active (full),0.36363636363636365
218,oblivious (partial),0.36363636363636365
219,sample everything,0.37373737373737376
220,active (partial),0.38383838383838387
221,active (shifted),0.3535353535353536
222,active (full),0.37373737373737376
223,oblivious (partial),0.36363636363636365
224,sample everything,0.38383838383838387
225,active (partial),0.38383838383838387
226,active (shifted),0.3535353535353536
227,active (full),0.37373737373737376
228,oblivious (partial),0.36363636363636365
229,sample everything,0.36363636363636365
230,active (partial),0.38383838383838387
231,active (shifted),0.3535353535353536
232,active (full),0.37373737373737376
233,oblivious (partial),0.37373737373737376
234,sample everything,0.36363636363636365
