,Method,$\widehat{\beta}$
0,active (partial),0.4646464646464647
1,active (shifted),0.33333333333333337
2,active (partial+q_cv),0.4646464646464647
3,active (partial+cons_cv),0.33333333333333337
4,sample everything,0.33333333333333337
5,active (partial),0.42424242424242425
6,active (shifted),0.3434343434343435
7,active (partial+q_cv),0.4545454545454546
8,active (partial+cons_cv),0.37373737373737376
9,sample everything,0.37373737373737376
10,active (partial),0.4646464646464647
11,active (shifted),0.3434343434343435
12,active (partial+q_cv),0.4444444444444445
13,active (partial+cons_cv),0.3434343434343435
14,sample everything,0.3434343434343435
15,active (partial),0.4646464646464647
16,active (shifted),0.33333333333333337
17,active (partial+q_cv),0.4545454545454546
18,active (partial+cons_cv),0.33333333333333337
19,sample everything,0.3434343434343435
20,active (partial),0.4646464646464647
21,active (shifted),0.36363636363636365
22,active (partial+q_cv),0.4646464646464647
23,active (partial+cons_cv),0.36363636363636365
24,sample everything,0.36363636363636365
25,active (partial),0.4646464646464647
26,active (shifted),0.36363636363636365
27,active (partial+q_cv),0.4545454545454546
28,active (partial+cons_cv),0.36363636363636365
29,sample everything,0.38383838383838387
30,active (partial),0.4545454545454546
31,active (shifted),0.3535353535353536
32,active (partial+q_cv),0.4545454545454546
33,active (partial+cons_cv),0.3535353535353536
34,sample everything,0.36363636363636365
35,active (partial),0.42424242424242425
36,active (shifted),0.3535353535353536
37,active (partial+q_cv),0.4545454545454546
38,active (partial+cons_cv),0.3535353535353536
39,sample everything,0.3535353535353536
40,active (partial),0.4444444444444445
41,active (shifted),0.36363636363636365
42,active (partial+q_cv),0.4646464646464647
43,active (partial+cons_cv),0.36363636363636365
44,sample everything,0.36363636363636365
45,active (partial),0.4545454545454546
46,active (shifted),0.3535353535353536
47,active (partial+q_cv),0.4545454545454546
48,active (partial+cons_cv),0.3535353535353536
49,sample everything,0.37373737373737376
50,active (partial),0.43434343434343436
51,active (shifted),0.33333333333333337
52,active (partial+q_cv),0.4444444444444445
53,active (partial+cons_cv),0.3535353535353536
54,sample everything,0.33333333333333337
55,active (partial),0.4444444444444445
56,active (shifted),0.3434343434343435
57,active (partial+q_cv),0.4545454545454546
58,active (partial+cons_cv),0.3434343434343435
59,sample everything,0.3535353535353536
60,active (partial),0.4545454545454546
61,active (shifted),0.36363636363636365
62,active (partial+q_cv),0.42424242424242425
63,active (partial+cons_cv),0.36363636363636365
64,sample everything,0.38383838383838387
65,active (partial),0.4646464646464647
66,active (shifted),0.36363636363636365
67,active (partial+q_cv),0.4646464646464647
68,active (partial+cons_cv),0.36363636363636365
69,sample everything,0.37373737373737376
70,active (partial),0.4444444444444445
71,active (shifted),0.3434343434343435
72,active (partial+q_cv),0.4646464646464647
73,active (partial+cons_cv),0.3434343434343435
74,sample everything,0.36363636363636365
75,active (partial),0.4646464646464647
76,active (shifted),0.36363636363636365
77,active (partial+q_cv),0.4747474747474748
78,active (partial+cons_cv),0.36363636363636365
79,sample everything,0.37373737373737376
80,active (partial),0.4545454545454546
81,active (shifted),0.36363636363636365
82,active (partial+q_cv),0.4545454545454546
83,active (partial+cons_cv),0.36363636363636365
84,sample everything,0.36363636363636365
85,active (partial),0.4646464646464647
86,active (shifted),0.3434343434343435
87,active (partial+q_cv),0.4545454545454546
88,active (partial+cons_cv),0.36363636363636365
89,sample everything,0.36363636363636365
90,active (partial),0.4545454545454546
91,active (shifted),0.3434343434343435
92,active (partial+q_cv),0.4545454545454546
93,active (partial+cons_cv),0.33333333333333337
94,sample everything,0.3434343434343435
95,active (partial),0.4646464646464647
96,active (shifted),0.33333333333333337
97,active (partial+q_cv),0.4646464646464647
98,active (partial+cons_cv),0.33333333333333337
99,sample everything,0.33333333333333337
100,active (partial),0.4444444444444445
101,active (shifted),0.3434343434343435
102,active (partial+q_cv),0.4545454545454546
103,active (partial+cons_cv),0.36363636363636365
104,sample everything,0.36363636363636365
105,active (partial),0.4545454545454546
106,active (shifted),0.3434343434343435
107,active (partial+q_cv),0.42424242424242425
108,active (partial+cons_cv),0.3434343434343435
109,sample everything,0.3434343434343435
110,active (partial),0.4444444444444445
111,active (shifted),0.33333333333333337
112,active (partial+q_cv),0.4444444444444445
113,active (partial+cons_cv),0.33333333333333337
114,sample everything,0.33333333333333337
115,active (partial),0.4545454545454546
116,active (shifted),0.3434343434343435
117,active (partial+q_cv),0.4444444444444445
118,active (partial+cons_cv),0.3434343434343435
119,sample everything,0.3434343434343435
120,active (partial),0.4444444444444445
121,active (shifted),0.32323232323232326
122,active (partial+q_cv),0.4444444444444445
123,active (partial+cons_cv),0.32323232323232326
124,sample everything,0.32323232323232326
125,active (partial),0.4545454545454546
126,active (shifted),0.32323232323232326
127,active (partial+q_cv),0.4444444444444445
128,active (partial+cons_cv),0.32323232323232326
129,sample everything,0.32323232323232326
130,active (partial),0.4646464646464647
131,active (shifted),0.37373737373737376
132,active (partial+q_cv),0.4646464646464647
133,active (partial+cons_cv),0.37373737373737376
134,sample everything,0.38383838383838387
135,active (partial),0.4545454545454546
136,active (shifted),0.3535353535353536
137,active (partial+q_cv),0.4545454545454546
138,active (partial+cons_cv),0.3535353535353536
139,sample everything,0.36363636363636365
140,active (partial),0.43434343434343436
141,active (shifted),0.3535353535353536
142,active (partial+q_cv),0.4444444444444445
143,active (partial+cons_cv),0.37373737373737376
144,sample everything,0.37373737373737376
145,active (partial),0.4545454545454546
146,active (shifted),0.3434343434343435
147,active (partial+q_cv),0.4545454545454546
148,active (partial+cons_cv),0.3434343434343435
149,sample everything,0.3535353535353536
150,active (partial),0.4747474747474748
151,active (shifted),0.3434343434343435
152,active (partial+q_cv),0.4646464646464647
153,active (partial+cons_cv),0.3535353535353536
154,sample everything,0.3434343434343435
155,active (partial),0.4444444444444445
156,active (shifted),0.33333333333333337
157,active (partial+q_cv),0.4444444444444445
158,active (partial+cons_cv),0.33333333333333337
159,sample everything,0.3434343434343435
160,active (partial),0.4444444444444445
161,active (shifted),0.3434343434343435
162,active (partial+q_cv),0.4444444444444445
163,active (partial+cons_cv),0.3434343434343435
164,sample everything,0.3434343434343435
165,active (partial),0.4646464646464647
166,active (shifted),0.36363636363636365
167,active (partial+q_cv),0.4646464646464647
168,active (partial+cons_cv),0.36363636363636365
169,sample everything,0.38383838383838387
170,active (partial),0.4646464646464647
171,active (shifted),0.36363636363636365
172,active (partial+q_cv),0.4646464646464647
173,active (partial+cons_cv),0.36363636363636365
174,sample everything,0.37373737373737376
175,active (partial),0.4747474747474748
176,active (shifted),0.36363636363636365
177,active (partial+q_cv),0.4646464646464647
178,active (partial+cons_cv),0.36363636363636365
179,sample everything,0.38383838383838387
180,active (partial),0.43434343434343436
181,active (shifted),0.32323232323232326
182,active (partial+q_cv),0.4444444444444445
183,active (partial+cons_cv),0.32323232323232326
184,sample everything,0.33333333333333337
185,active (partial),0.4646464646464647
186,active (shifted),0.36363636363636365
187,active (partial+q_cv),0.4646464646464647
188,active (partial+cons_cv),0.36363636363636365
189,sample everything,0.37373737373737376
190,active (partial),0.4444444444444445
191,active (shifted),0.3434343434343435
192,active (partial+q_cv),0.4444444444444445
193,active (partial+cons_cv),0.36363636363636365
194,sample everything,0.36363636363636365
195,active (partial),0.4747474747474748
196,active (shifted),0.38383838383838387
197,active (partial+q_cv),0.4747474747474748
198,active (partial+cons_cv),0.4040404040404041
199,sample everything,0.393939393939394
200,active (partial),0.4545454545454546
201,active (shifted),0.3434343434343435
202,active (partial+q_cv),0.4545454545454546
203,active (partial+cons_cv),0.36363636363636365
204,sample everything,0.3535353535353536
205,active (partial),0.4646464646464647
206,active (shifted),0.37373737373737376
207,active (partial+q_cv),0.4747474747474748
208,active (partial+cons_cv),0.37373737373737376
209,sample everything,0.4040404040404041
210,active (partial),0.4646464646464647
211,active (shifted),0.3535353535353536
212,active (partial+q_cv),0.4747474747474748
213,active (partial+cons_cv),0.3535353535353536
214,sample everything,0.3535353535353536
215,active (partial),0.4646464646464647
216,active (shifted),0.3535353535353536
217,active (partial+q_cv),0.4646464646464647
218,active (partial+cons_cv),0.36363636363636365
219,sample everything,0.36363636363636365
220,active (partial),0.4646464646464647
221,active (shifted),0.36363636363636365
222,active (partial+q_cv),0.4646464646464647
223,active (partial+cons_cv),0.37373737373737376
224,sample everything,0.37373737373737376
225,active (partial),0.4747474747474748
226,active (shifted),0.37373737373737376
227,active (partial+q_cv),0.4747474747474748
228,active (partial+cons_cv),0.37373737373737376
229,sample everything,0.38383838383838387
230,active (partial),0.4545454545454546
231,active (shifted),0.3434343434343435
232,active (partial+q_cv),0.4444444444444445
233,active (partial+cons_cv),0.36363636363636365
234,sample everything,0.3434343434343435
235,active (partial),0.42424242424242425
236,active (shifted),0.33333333333333337
237,active (partial+q_cv),0.4545454545454546
238,active (partial+cons_cv),0.33333333333333337
239,sample everything,0.3434343434343435
240,active (partial),0.4444444444444445
241,active (shifted),0.3535353535353536
242,active (partial+q_cv),0.4545454545454546
243,active (partial+cons_cv),0.3535353535353536
244,sample everything,0.3535353535353536
245,active (partial),0.4545454545454546
246,active (shifted),0.32323232323232326
247,active (partial+q_cv),0.4545454545454546
248,active (partial+cons_cv),0.32323232323232326
249,sample everything,0.32323232323232326
250,active (partial),0.4646464646464647
251,active (shifted),0.36363636363636365
252,active (partial+q_cv),0.4646464646464647
253,active (partial+cons_cv),0.393939393939394
254,sample everything,0.36363636363636365
255,active (partial),0.4545454545454546
256,active (shifted),0.3434343434343435
257,active (partial+q_cv),0.4545454545454546
258,active (partial+cons_cv),0.3434343434343435
259,sample everything,0.36363636363636365
260,active (partial),0.494949494949495
261,active (shifted),0.393939393939394
262,active (partial+q_cv),0.48484848484848486
263,active (partial+cons_cv),0.4141414141414142
264,sample everything,0.42424242424242425
265,active (partial),0.4646464646464647
266,active (shifted),0.32323232323232326
267,active (partial+q_cv),0.4646464646464647
268,active (partial+cons_cv),0.3434343434343435
269,sample everything,0.32323232323232326
270,active (partial),0.4444444444444445
271,active (shifted),0.31313131313131315
272,active (partial+q_cv),0.4646464646464647
273,active (partial+cons_cv),0.36363636363636365
274,sample everything,0.31313131313131315
275,active (partial),0.4646464646464647
276,active (shifted),0.3535353535353536
277,active (partial+q_cv),0.4646464646464647
278,active (partial+cons_cv),0.3535353535353536
279,sample everything,0.36363636363636365
280,active (partial),0.4646464646464647
281,active (shifted),0.3434343434343435
282,active (partial+q_cv),0.4646464646464647
283,active (partial+cons_cv),0.3434343434343435
284,sample everything,0.3434343434343435
285,active (partial),0.4646464646464647
286,active (shifted),0.36363636363636365
287,active (partial+q_cv),0.4545454545454546
288,active (partial+cons_cv),0.37373737373737376
289,sample everything,0.38383838383838387
290,active (partial),0.43434343434343436
291,active (shifted),0.33333333333333337
292,active (partial+q_cv),0.4444444444444445
293,active (partial+cons_cv),0.33333333333333337
294,sample everything,0.3434343434343435
295,active (partial),0.4646464646464647
296,active (shifted),0.3535353535353536
297,active (partial+q_cv),0.4646464646464647
298,active (partial+cons_cv),0.3535353535353536
299,sample everything,0.37373737373737376
300,active (partial),0.43434343434343436
301,active (shifted),0.32323232323232326
302,active (partial+q_cv),0.43434343434343436
303,active (partial+cons_cv),0.3434343434343435
304,sample everything,0.32323232323232326
305,active (partial),0.4646464646464647
306,active (shifted),0.3535353535353536
307,active (partial+q_cv),0.4646464646464647
308,active (partial+cons_cv),0.3535353535353536
309,sample everything,0.36363636363636365
310,active (partial),0.4646464646464647
311,active (shifted),0.36363636363636365
312,active (partial+q_cv),0.4646464646464647
313,active (partial+cons_cv),0.36363636363636365
314,sample everything,0.37373737373737376
315,active (partial),0.4545454545454546
316,active (shifted),0.3535353535353536
