,Method,$\widehat{\beta}$
0,active (partial),0.393939393939394
1,active (shifted),0.3434343434343435
2,active (partial+q_cv),0.36363636363636365
3,active (partial+sep_cv),0.38383838383838387
4,sample everything,0.36363636363636365
5,active (partial),0.38383838383838387
6,active (shifted),0.3535353535353536
7,active (partial+q_cv),0.3535353535353536
8,active (partial+sep_cv),0.38383838383838387
9,sample everything,0.393939393939394
10,active (partial),0.38383838383838387
11,active (shifted),0.3434343434343435
12,active (partial+q_cv),0.37373737373737376
13,active (partial+sep_cv),0.38383838383838387
14,sample everything,0.36363636363636365
15,active (partial),0.37373737373737376
16,active (shifted),0.32323232323232326
17,active (partial+q_cv),0.37373737373737376
18,active (partial+sep_cv),0.36363636363636365
19,sample everything,0.32323232323232326
20,active (partial),0.38383838383838387
21,active (shifted),0.3434343434343435
22,active (partial+q_cv),0.38383838383838387
23,active (partial+sep_cv),0.38383838383838387
24,sample everything,0.3434343434343435
25,active (partial),0.37373737373737376
26,active (shifted),0.3535353535353536
27,active (partial+q_cv),0.36363636363636365
28,active (partial+sep_cv),0.38383838383838387
29,sample everything,0.37373737373737376
30,active (partial),0.393939393939394
31,active (shifted),0.3535353535353536
32,active (partial+q_cv),0.38383838383838387
33,active (partial+sep_cv),0.393939393939394
34,sample everything,0.36363636363636365
35,active (partial),0.37373737373737376
36,active (shifted),0.3434343434343435
37,active (partial+q_cv),0.36363636363636365
38,active (partial+sep_cv),0.36363636363636365
39,sample everything,0.36363636363636365
40,active (partial),0.37373737373737376
41,active (shifted),0.3535353535353536
42,active (partial+q_cv),0.38383838383838387
43,active (partial+sep_cv),0.38383838383838387
44,sample everything,0.3535353535353536
45,active (partial),0.38383838383838387
46,active (shifted),0.3434343434343435
47,active (partial+q_cv),0.37373737373737376
48,active (partial+sep_cv),0.38383838383838387
49,sample everything,0.37373737373737376
50,active (partial),0.38383838383838387
51,active (shifted),0.3434343434343435
52,active (partial+q_cv),0.37373737373737376
53,active (partial+sep_cv),0.38383838383838387
54,sample everything,0.3434343434343435
55,active (partial),0.38383838383838387
56,active (shifted),0.3535353535353536
57,active (partial+q_cv),0.37373737373737376
58,active (partial+sep_cv),0.38383838383838387
59,sample everything,0.36363636363636365
60,active (partial),0.38383838383838387
61,active (shifted),0.33333333333333337
62,active (partial+q_cv),0.37373737373737376
63,active (partial+sep_cv),0.38383838383838387
64,sample everything,0.3434343434343435
65,active (partial),0.393939393939394
66,active (shifted),0.3535353535353536
67,active (partial+q_cv),0.37373737373737376
68,active (partial+sep_cv),0.393939393939394
69,sample everything,0.36363636363636365
70,active (partial),0.38383838383838387
71,active (shifted),0.3535353535353536
72,active (partial+q_cv),0.37373737373737376
73,active (partial+sep_cv),0.38383838383838387
74,sample everything,0.393939393939394
75,active (partial),0.38383838383838387
76,active (shifted),0.33333333333333337
77,active (partial+q_cv),0.37373737373737376
78,active (partial+sep_cv),0.37373737373737376
79,sample everything,0.3535353535353536
80,active (partial),0.38383838383838387
81,active (shifted),0.33333333333333337
82,active (partial+q_cv),0.36363636363636365
83,active (partial+sep_cv),0.37373737373737376
84,sample everything,0.36363636363636365
85,active (partial),0.38383838383838387
