,Method,$\widehat{\beta}$
0,active (shifted),0.3434343434343435
1,active (partial+cons_cv),0.37373737373737376
2,active (shifted),0.33333333333333337
3,active (partial+cons_cv),0.36363636363636365
4,active (shifted),0.3434343434343435
5,active (partial+cons_cv),0.38383838383838387
6,active (shifted),0.32323232323232326
7,active (partial+cons_cv),0.38383838383838387
8,active (shifted),0.3535353535353536
9,active (partial+cons_cv),0.38383838383838387
10,active (shifted),0.3434343434343435
11,active (partial+cons_cv),0.37373737373737376
12,active (shifted),0.33333333333333337
13,active (partial+cons_cv),0.37373737373737376
14,active (shifted),0.3535353535353536
15,active (partial+cons_cv),0.393939393939394
16,active (shifted),0.33333333333333337
17,active (partial+cons_cv),0.37373737373737376
18,active (shifted),0.3434343434343435
19,active (partial+cons_cv),0.37373737373737376
20,active (shifted),0.3535353535353536
21,active (partial+cons_cv),0.393939393939394
22,active (shifted),0.3535353535353536
23,active (partial+cons_cv),0.38383838383838387
24,active (shifted),0.3535353535353536
25,active (partial+cons_cv),0.38383838383838387
26,active (shifted),0.3535353535353536
27,active (partial+cons_cv),0.393939393939394
28,active (shifted),0.3535353535353536
29,active (partial+cons_cv),0.38383838383838387
30,active (shifted),0.33333333333333337
31,active (partial+cons_cv),0.393939393939394
32,active (shifted),0.3434343434343435
33,active (partial+cons_cv),0.37373737373737376
34,active (shifted),0.33333333333333337
35,active (partial+cons_cv),0.37373737373737376
36,active (shifted),0.3434343434343435
37,active (partial+cons_cv),0.38383838383838387
38,active (shifted),0.33333333333333337
39,active (partial+cons_cv),0.38383838383838387
40,active (shifted),0.3434343434343435
41,active (partial+cons_cv),0.37373737373737376
42,active (shifted),0.33333333333333337
43,active (partial+cons_cv),0.37373737373737376
44,active (shifted),0.36363636363636365
45,active (partial+cons_cv),0.393939393939394
46,active (shifted),0.33333333333333337
47,active (partial+cons_cv),0.37373737373737376
48,active (shifted),0.36363636363636365
49,active (partial+cons_cv),0.38383838383838387
50,active (shifted),0.3434343434343435
51,active (partial+cons_cv),0.36363636363636365
52,active (shifted),0.32323232323232326
53,active (partial+cons_cv),0.37373737373737376
54,active (shifted),0.3434343434343435
55,active (partial+cons_cv),0.38383838383838387
56,active (shifted),0.3535353535353536
57,active (partial+cons_cv),0.37373737373737376
58,active (shifted),0.36363636363636365
59,active (partial+cons_cv),0.393939393939394
60,active (shifted),0.33333333333333337
61,active (partial+cons_cv),0.393939393939394
62,active (shifted),0.3434343434343435
63,active (partial+cons_cv),0.393939393939394
64,active (shifted),0.3535353535353536
65,active (partial+cons_cv),0.38383838383838387
66,active (shifted),0.3434343434343435
67,active (partial+cons_cv),0.38383838383838387
68,active (shifted),0.3535353535353536
69,active (partial+cons_cv),0.393939393939394
70,active (shifted),0.32323232323232326
71,active (partial+cons_cv),0.37373737373737376
72,active (shifted),0.3434343434343435
73,active (partial+cons_cv),0.38383838383838387
74,active (shifted),0.3434343434343435
75,active (partial+cons_cv),0.38383838383838387
76,active (shifted),0.3434343434343435
77,active (partial+cons_cv),0.38383838383838387
78,active (shifted),0.3535353535353536
79,active (partial+cons_cv),0.4040404040404041
80,active (shifted),0.32323232323232326
81,active (partial+cons_cv),0.37373737373737376
82,active (shifted),0.33333333333333337
83,active (partial+cons_cv),0.38383838383838387
84,active (shifted),0.33333333333333337
85,active (partial+cons_cv),0.38383838383838387
86,active (shifted),0.33333333333333337
87,active (partial+cons_cv),0.37373737373737376
88,active (shifted),0.31313131313131315
89,active (partial+cons_cv),0.38383838383838387
90,active (shifted),0.33333333333333337
91,active (partial+cons_cv),0.37373737373737376
92,active (shifted),0.3434343434343435
93,active (partial+cons_cv),0.38383838383838387
94,active (shifted),0.33333333333333337
95,active (partial+cons_cv),0.37373737373737376
96,active (shifted),0.3434343434343435
97,active (partial+cons_cv),0.393939393939394
98,active (shifted),0.3434343434343435
99,active (partial+cons_cv),0.37373737373737376
100,active (shifted),0.3434343434343435
101,active (partial+cons_cv),0.37373737373737376
102,active (shifted),0.33333333333333337
103,active (partial+cons_cv),0.37373737373737376
104,active (shifted),0.3434343434343435
105,active (partial+cons_cv),0.37373737373737376
106,active (shifted),0.3434343434343435
107,active (partial+cons_cv),0.38383838383838387
108,active (shifted),0.3535353535353536
109,active (partial+cons_cv),0.38383838383838387
110,active (shifted),0.3535353535353536
111,active (partial+cons_cv),0.38383838383838387
112,active (shifted),0.33333333333333337
113,active (partial+cons_cv),0.37373737373737376
114,active (shifted),0.3535353535353536
115,active (partial+cons_cv),0.393939393939394
116,active (shifted),0.3535353535353536
117,active (partial+cons_cv),0.393939393939394
118,active (shifted),0.3535353535353536
119,active (partial+cons_cv),0.37373737373737376
120,active (shifted),0.3535353535353536
121,active (partial+cons_cv),0.38383838383838387
122,active (shifted),0.3535353535353536
123,active (partial+cons_cv),0.38383838383838387
124,active (shifted),0.3535353535353536
125,active (partial+cons_cv),0.38383838383838387
126,active (shifted),0.3535353535353536
127,active (partial+cons_cv),0.38383838383838387
128,active (shifted),0.3434343434343435
129,active (partial+cons_cv),0.37373737373737376
130,active (shifted),0.33333333333333337
131,active (partial+cons_cv),0.38383838383838387
132,active (shifted),0.3434343434343435
133,active (partial+cons_cv),0.38383838383838387
134,active (shifted),0.3434343434343435
135,active (partial+cons_cv),0.37373737373737376
136,active (shifted),0.3434343434343435
137,active (partial+cons_cv),0.38383838383838387
138,active (shifted),0.3535353535353536
139,active (partial+cons_cv),0.38383838383838387
140,active (shifted),0.33333333333333337
141,active (partial+cons_cv),0.38383838383838387
142,active (shifted),0.33333333333333337
143,active (partial+cons_cv),0.38383838383838387
144,active (shifted),0.30303030303030304
145,active (partial+cons_cv),0.37373737373737376
146,active (shifted),0.3434343434343435
147,active (partial+cons_cv),0.38383838383838387
148,active (shifted),0.32323232323232326
149,active (partial+cons_cv),0.37373737373737376
150,active (shifted),0.3434343434343435
151,active (partial+cons_cv),0.38383838383838387
152,active (shifted),0.33333333333333337
153,active (partial+cons_cv),0.37373737373737376
154,active (shifted),0.3535353535353536
155,active (partial+cons_cv),0.38383838383838387
156,active (shifted),0.3535353535353536
157,active (partial+cons_cv),0.37373737373737376
158,active (shifted),0.3434343434343435
159,active (partial+cons_cv),0.38383838383838387
160,active (shifted),0.3434343434343435
161,active (partial+cons_cv),0.36363636363636365
162,active (shifted),0.3434343434343435
163,active (partial+cons_cv),0.37373737373737376
164,active (shifted),0.3434343434343435
165,active (partial+cons_cv),0.37373737373737376
166,active (shifted),0.33333333333333337
167,active (partial+cons_cv),0.393939393939394
168,active (shifted),0.3535353535353536
169,active (partial+cons_cv),0.38383838383838387
170,active (shifted),0.33333333333333337
171,active (partial+cons_cv),0.37373737373737376
172,active (shifted),0.32323232323232326
173,active (partial+cons_cv),0.38383838383838387
174,active (shifted),0.32323232323232326
175,active (partial+cons_cv),0.37373737373737376
176,active (shifted),0.33333333333333337
177,active (partial+cons_cv),0.37373737373737376
178,active (shifted),0.3535353535353536
179,active (partial+cons_cv),0.38383838383838387
180,active (shifted),0.3434343434343435
181,active (partial+cons_cv),0.393939393939394
182,active (shifted),0.3535353535353536
183,active (partial+cons_cv),0.38383838383838387
184,active (shifted),0.33333333333333337
185,active (partial+cons_cv),0.38383838383838387
186,active (shifted),0.3434343434343435
187,active (partial+cons_cv),0.38383838383838387
188,active (shifted),0.33333333333333337
189,active (partial+cons_cv),0.38383838383838387
190,active (shifted),0.3535353535353536
191,active (partial+cons_cv),0.38383838383838387
192,active (shifted),0.36363636363636365
193,active (partial+cons_cv),0.393939393939394
