,Method,$\widehat{\beta}$
0,active (partial),0.393939393939394
1,active (shifted),0.33333333333333337
2,active (partial+cons_cv),0.36363636363636365
3,sample everything,0.33333333333333337
4,active (partial),0.38383838383838387
5,active (shifted),0.3434343434343435
6,active (partial+cons_cv),0.38383838383838387
7,sample everything,0.37373737373737376
8,active (partial),0.38383838383838387
9,active (shifted),0.3434343434343435
10,active (partial+cons_cv),0.36363636363636365
11,sample everything,0.3434343434343435
12,active (partial),0.37373737373737376
13,active (shifted),0.33333333333333337
14,active (partial+cons_cv),0.36363636363636365
15,sample everything,0.3434343434343435
16,active (partial),0.38383838383838387
17,active (shifted),0.3535353535353536
18,active (partial+cons_cv),0.36363636363636365
19,sample everything,0.36363636363636365
20,active (partial),0.38383838383838387
21,active (shifted),0.36363636363636365
22,active (partial+cons_cv),0.38383838383838387
23,sample everything,0.38383838383838387
24,active (partial),0.4040404040404041
25,active (shifted),0.3535353535353536
26,active (partial+cons_cv),0.37373737373737376
27,sample everything,0.36363636363636365
28,active (partial),0.38383838383838387
29,active (shifted),0.3434343434343435
30,active (partial+cons_cv),0.36363636363636365
31,sample everything,0.3535353535353536
32,active (partial),0.393939393939394
33,active (shifted),0.3535353535353536
34,active (partial+cons_cv),0.3535353535353536
35,sample everything,0.36363636363636365
36,active (partial),0.38383838383838387
37,active (shifted),0.3434343434343435
38,active (partial+cons_cv),0.37373737373737376
39,sample everything,0.37373737373737376
40,active (partial),0.37373737373737376
41,active (shifted),0.33333333333333337
42,active (partial+cons_cv),0.33333333333333337
43,sample everything,0.33333333333333337
44,active (partial),0.37373737373737376
45,active (shifted),0.33333333333333337
46,active (partial+cons_cv),0.3535353535353536
47,sample everything,0.3535353535353536
48,active (partial),0.37373737373737376
49,active (shifted),0.3535353535353536
50,active (partial+cons_cv),0.37373737373737376
51,sample everything,0.38383838383838387
52,active (partial),0.38383838383838387
53,active (shifted),0.3434343434343435
54,active (partial+cons_cv),0.3434343434343435
55,sample everything,0.37373737373737376
56,active (partial),0.37373737373737376
57,active (shifted),0.3434343434343435
58,active (partial+cons_cv),0.36363636363636365
59,sample everything,0.36363636363636365
60,active (partial),0.38383838383838387
61,active (shifted),0.3434343434343435
62,active (partial+cons_cv),0.36363636363636365
63,sample everything,0.37373737373737376
64,active (partial),0.38383838383838387
65,active (shifted),0.3434343434343435
66,active (partial+cons_cv),0.37373737373737376
67,sample everything,0.36363636363636365
68,active (partial),0.38383838383838387
69,active (shifted),0.3434343434343435
70,active (partial+cons_cv),0.3535353535353536
71,sample everything,0.36363636363636365
72,active (partial),0.37373737373737376
73,active (shifted),0.33333333333333337
74,active (partial+cons_cv),0.3535353535353536
75,sample everything,0.3434343434343435
76,active (partial),0.37373737373737376
77,active (shifted),0.33333333333333337
78,active (partial+cons_cv),0.33333333333333337
79,sample everything,0.33333333333333337
80,active (partial),0.38383838383838387
81,active (shifted),0.3434343434343435
82,active (partial+cons_cv),0.36363636363636365
83,sample everything,0.36363636363636365
84,active (partial),0.393939393939394
85,active (shifted),0.3434343434343435
86,active (partial+cons_cv),0.36363636363636365
87,sample everything,0.3434343434343435
88,active (partial),0.36363636363636365
89,active (shifted),0.32323232323232326
90,active (partial+cons_cv),0.32323232323232326
91,sample everything,0.33333333333333337
92,active (partial),0.38383838383838387
93,active (shifted),0.3434343434343435
94,active (partial+cons_cv),0.36363636363636365
95,sample everything,0.3434343434343435
96,active (partial),0.37373737373737376
97,active (shifted),0.32323232323232326
98,active (partial+cons_cv),0.32323232323232326
99,sample everything,0.32323232323232326
100,active (partial),0.37373737373737376
101,active (shifted),0.32323232323232326
102,active (partial+cons_cv),0.3434343434343435
103,sample everything,0.32323232323232326
104,active (partial),0.38383838383838387
105,active (shifted),0.3535353535353536
106,active (partial+cons_cv),0.36363636363636365
107,sample everything,0.38383838383838387
108,active (partial),0.393939393939394
109,active (shifted),0.3535353535353536
110,active (partial+cons_cv),0.3535353535353536
111,sample everything,0.36363636363636365
112,active (partial),0.37373737373737376
113,active (shifted),0.3434343434343435
114,active (partial+cons_cv),0.3434343434343435
115,sample everything,0.37373737373737376
116,active (partial),0.37373737373737376
117,active (shifted),0.3434343434343435
118,active (partial+cons_cv),0.3535353535353536
119,sample everything,0.3535353535353536
120,active (partial),0.393939393939394
121,active (shifted),0.3434343434343435
122,active (partial+cons_cv),0.36363636363636365
123,sample everything,0.3434343434343435
124,active (partial),0.38383838383838387
125,active (shifted),0.33333333333333337
126,active (partial+cons_cv),0.36363636363636365
127,sample everything,0.3434343434343435
128,active (partial),0.393939393939394
129,active (shifted),0.3434343434343435
130,active (partial+cons_cv),0.3434343434343435
131,sample everything,0.3434343434343435
132,active (partial),0.37373737373737376
133,active (shifted),0.3535353535353536
134,active (partial+cons_cv),0.37373737373737376
135,sample everything,0.38383838383838387
136,active (partial),0.37373737373737376
137,active (shifted),0.36363636363636365
138,active (partial+cons_cv),0.3434343434343435
139,sample everything,0.37373737373737376
140,active (partial),0.393939393939394
141,active (shifted),0.36363636363636365
142,active (partial+cons_cv),0.36363636363636365
143,sample everything,0.38383838383838387
144,active (partial),0.36363636363636365
