,Method,$\widehat{\beta}$
0,active (partial),0.38383838383838387
1,active (shifted),0.33333333333333337
2,active (partial+q_cv),0.393939393939394
3,active (partial+cons_cv),0.33333333333333337
4,sample everything,0.33333333333333337
5,active (partial),0.37373737373737376
6,active (shifted),0.3434343434343435
7,active (partial+q_cv),0.38383838383838387
8,active (partial+cons_cv),0.37373737373737376
9,sample everything,0.37373737373737376
10,active (partial),0.38383838383838387
11,active (shifted),0.3434343434343435
12,active (partial+q_cv),0.37373737373737376
13,active (partial+cons_cv),0.3434343434343435
14,sample everything,0.3434343434343435
15,active (partial),0.38383838383838387
16,active (shifted),0.33333333333333337
17,active (partial+q_cv),0.38383838383838387
18,active (partial+cons_cv),0.33333333333333337
19,sample everything,0.3434343434343435
20,active (partial),0.393939393939394
21,active (shifted),0.3535353535353536
22,active (partial+q_cv),0.38383838383838387
23,active (partial+cons_cv),0.3535353535353536
24,sample everything,0.36363636363636365
25,active (partial),0.38383838383838387
26,active (shifted),0.36363636363636365
27,active (partial+q_cv),0.38383838383838387
28,active (partial+cons_cv),0.36363636363636365
29,sample everything,0.38383838383838387
30,active (partial),0.393939393939394
31,active (shifted),0.3535353535353536
32,active (partial+q_cv),0.393939393939394
33,active (partial+cons_cv),0.3535353535353536
34,sample everything,0.36363636363636365
35,active (partial),0.38383838383838387
36,active (shifted),0.3434343434343435
37,active (partial+q_cv),0.38383838383838387
38,active (partial+cons_cv),0.3434343434343435
39,sample everything,0.3535353535353536
40,active (partial),0.38383838383838387
41,active (shifted),0.3535353535353536
42,active (partial+q_cv),0.393939393939394
43,active (partial+cons_cv),0.3535353535353536
44,sample everything,0.36363636363636365
45,active (partial),0.37373737373737376
46,active (shifted),0.3434343434343435
47,active (partial+q_cv),0.37373737373737376
48,active (partial+cons_cv),0.37373737373737376
49,sample everything,0.37373737373737376
50,active (partial),0.38383838383838387
51,active (shifted),0.33333333333333337
52,active (partial+q_cv),0.37373737373737376
53,active (partial+cons_cv),0.3535353535353536
54,sample everything,0.33333333333333337
55,active (partial),0.37373737373737376
56,active (shifted),0.33333333333333337
57,active (partial+q_cv),0.37373737373737376
58,active (partial+cons_cv),0.33333333333333337
59,sample everything,0.3535353535353536
60,active (partial),0.38383838383838387
61,active (shifted),0.3535353535353536
62,active (partial+q_cv),0.38383838383838387
63,active (partial+cons_cv),0.36363636363636365
64,sample everything,0.38383838383838387
65,active (partial),0.38383838383838387
66,active (shifted),0.3434343434343435
67,active (partial+q_cv),0.38383838383838387
68,active (partial+cons_cv),0.3434343434343435
69,sample everything,0.37373737373737376
70,active (partial),0.37373737373737376
71,active (shifted),0.3434343434343435
72,active (partial+q_cv),0.37373737373737376
73,active (partial+cons_cv),0.36363636363636365
74,sample everything,0.36363636363636365
75,active (partial),0.38383838383838387
76,active (shifted),0.3434343434343435
77,active (partial+q_cv),0.38383838383838387
78,active (partial+cons_cv),0.36363636363636365
79,sample everything,0.37373737373737376
80,active (partial),0.38383838383838387
81,active (shifted),0.3434343434343435
82,active (partial+q_cv),0.37373737373737376
83,active (partial+cons_cv),0.3434343434343435
84,sample everything,0.36363636363636365
85,active (partial),0.37373737373737376
86,active (shifted),0.3434343434343435
87,active (partial+q_cv),0.38383838383838387
88,active (partial+cons_cv),0.36363636363636365
89,sample everything,0.36363636363636365
90,active (partial),0.38383838383838387
91,active (shifted),0.33333333333333337
92,active (partial+q_cv),0.37373737373737376
93,active (partial+cons_cv),0.3535353535353536
94,sample everything,0.3434343434343435
95,active (partial),0.36363636363636365
96,active (shifted),0.33333333333333337
97,active (partial+q_cv),0.36363636363636365
98,active (partial+cons_cv),0.33333333333333337
99,sample everything,0.33333333333333337
100,active (partial),0.38383838383838387
101,active (shifted),0.3434343434343435
102,active (partial+q_cv),0.38383838383838387
103,active (partial+cons_cv),0.3434343434343435
104,sample everything,0.36363636363636365
105,active (partial),0.38383838383838387
106,active (shifted),0.3434343434343435
107,active (partial+q_cv),0.38383838383838387
108,active (partial+cons_cv),0.3434343434343435
109,sample everything,0.3434343434343435
110,active (partial),0.36363636363636365
111,active (shifted),0.32323232323232326
112,active (partial+q_cv),0.36363636363636365
113,active (partial+cons_cv),0.32323232323232326
114,sample everything,0.33333333333333337
115,active (partial),0.38383838383838387
116,active (shifted),0.3434343434343435
117,active (partial+q_cv),0.38383838383838387
118,active (partial+cons_cv),0.3434343434343435
119,sample everything,0.3434343434343435
120,active (partial),0.37373737373737376
121,active (shifted),0.32323232323232326
122,active (partial+q_cv),0.36363636363636365
123,active (partial+cons_cv),0.3434343434343435
124,sample everything,0.32323232323232326
125,active (partial),0.37373737373737376
126,active (shifted),0.32323232323232326
127,active (partial+q_cv),0.37373737373737376
128,active (partial+cons_cv),0.32323232323232326
129,sample everything,0.32323232323232326
130,active (partial),0.38383838383838387
131,active (shifted),0.36363636363636365
132,active (partial+q_cv),0.38383838383838387
133,active (partial+cons_cv),0.36363636363636365
134,sample everything,0.38383838383838387
135,active (partial),0.393939393939394
136,active (shifted),0.3535353535353536
137,active (partial+q_cv),0.38383838383838387
138,active (partial+cons_cv),0.3535353535353536
139,sample everything,0.36363636363636365
140,active (partial),0.37373737373737376
141,active (shifted),0.3434343434343435
142,active (partial+q_cv),0.37373737373737376
143,active (partial+cons_cv),0.36363636363636365
144,sample everything,0.37373737373737376
145,active (partial),0.37373737373737376
146,active (shifted),0.3434343434343435
147,active (partial+q_cv),0.37373737373737376
148,active (partial+cons_cv),0.3434343434343435
149,sample everything,0.3535353535353536
150,active (partial),0.38383838383838387
151,active (shifted),0.3434343434343435
152,active (partial+q_cv),0.38383838383838387
153,active (partial+cons_cv),0.36363636363636365
154,sample everything,0.3434343434343435
155,active (partial),0.37373737373737376
156,active (shifted),0.3434343434343435
157,active (partial+q_cv),0.37373737373737376
158,active (partial+cons_cv),0.33333333333333337
159,sample everything,0.3434343434343435
160,active (partial),0.38383838383838387
161,active (shifted),0.3434343434343435
162,active (partial+q_cv),0.38383838383838387
163,active (partial+cons_cv),0.3434343434343435
164,sample everything,0.3434343434343435
165,active (partial),0.37373737373737376
166,active (shifted),0.3535353535353536
167,active (partial+q_cv),0.37373737373737376
168,active (partial+cons_cv),0.3535353535353536
169,sample everything,0.38383838383838387
170,active (partial),0.37373737373737376
171,active (shifted),0.3434343434343435
172,active (partial+q_cv),0.38383838383838387
173,active (partial+cons_cv),0.3434343434343435
174,sample everything,0.37373737373737376
175,active (partial),0.393939393939394
176,active (shifted),0.36363636363636365
177,active (partial+q_cv),0.4040404040404041
178,active (partial+cons_cv),0.36363636363636365
179,sample everything,0.38383838383838387
180,active (partial),0.36363636363636365
181,active (shifted),0.32323232323232326
182,active (partial+q_cv),0.36363636363636365
183,active (partial+cons_cv),0.32323232323232326
184,sample everything,0.33333333333333337
185,active (partial),0.393939393939394
186,active (shifted),0.3434343434343435
187,active (partial+q_cv),0.38383838383838387
188,active (partial+cons_cv),0.3434343434343435
189,sample everything,0.37373737373737376
190,active (partial),0.38383838383838387
191,active (shifted),0.3434343434343435
192,active (partial+q_cv),0.38383838383838387
193,active (partial+cons_cv),0.36363636363636365
194,sample everything,0.36363636363636365
195,active (partial),0.393939393939394
196,active (shifted),0.36363636363636365
197,active (partial+q_cv),0.393939393939394
198,active (partial+cons_cv),0.38383838383838387
199,sample everything,0.393939393939394
200,active (partial),0.38383838383838387
201,active (shifted),0.3434343434343435
202,active (partial+q_cv),0.38383838383838387
203,active (partial+cons_cv),0.36363636363636365
204,sample everything,0.3535353535353536
205,active (partial),0.38383838383838387
206,active (shifted),0.36363636363636365
207,active (partial+q_cv),0.393939393939394
208,active (partial+cons_cv),0.36363636363636365
209,sample everything,0.4040404040404041
210,active (partial),0.393939393939394
211,active (shifted),0.3535353535353536
212,active (partial+q_cv),0.393939393939394
213,active (partial+cons_cv),0.3535353535353536
214,sample everything,0.3535353535353536
215,active (partial),0.38383838383838387
216,active (shifted),0.3535353535353536
217,active (partial+q_cv),0.38383838383838387
218,active (partial+cons_cv),0.36363636363636365
219,sample everything,0.36363636363636365
220,active (partial),0.393939393939394
221,active (shifted),0.36363636363636365
222,active (partial+q_cv),0.393939393939394
223,active (partial+cons_cv),0.37373737373737376
224,sample everything,0.37373737373737376
225,active (partial),0.393939393939394
226,active (shifted),0.36363636363636365
227,active (partial+q_cv),0.38383838383838387
228,active (partial+cons_cv),0.36363636363636365
229,sample everything,0.38383838383838387
230,active (partial),0.38383838383838387
231,active (shifted),0.3434343434343435
232,active (partial+q_cv),0.37373737373737376
233,active (partial+cons_cv),0.36363636363636365
234,sample everything,0.3434343434343435
235,active (partial),0.37373737373737376
236,active (shifted),0.33333333333333337
237,active (partial+q_cv),0.37373737373737376
238,active (partial+cons_cv),0.3535353535353536
239,sample everything,0.3434343434343435
240,active (partial),0.37373737373737376
241,active (shifted),0.3434343434343435
242,active (partial+q_cv),0.37373737373737376
243,active (partial+cons_cv),0.36363636363636365
244,sample everything,0.3535353535353536
245,active (partial),0.37373737373737376
246,active (shifted),0.32323232323232326
247,active (partial+q_cv),0.36363636363636365
248,active (partial+cons_cv),0.33333333333333337
249,sample everything,0.32323232323232326
250,active (partial),0.38383838383838387
251,active (shifted),0.3434343434343435
252,active (partial+q_cv),0.38383838383838387
253,active (partial+cons_cv),0.37373737373737376
254,sample everything,0.36363636363636365
255,active (partial),0.37373737373737376
256,active (shifted),0.33333333333333337
257,active (partial+q_cv),0.37373737373737376
258,active (partial+cons_cv),0.3535353535353536
259,sample everything,0.36363636363636365
260,active (partial),0.393939393939394
261,active (shifted),0.36363636363636365
262,active (partial+q_cv),0.393939393939394
263,active (partial+cons_cv),0.37373737373737376
264,sample everything,0.42424242424242425
265,active (partial),0.37373737373737376
266,active (shifted),0.32323232323232326
267,active (partial+q_cv),0.38383838383838387
268,active (partial+cons_cv),0.32323232323232326
269,sample everything,0.32323232323232326
270,active (partial),0.38383838383838387
271,active (shifted),0.31313131313131315
272,active (partial+q_cv),0.38383838383838387
273,active (partial+cons_cv),0.36363636363636365
274,sample everything,0.31313131313131315
275,active (partial),0.38383838383838387
276,active (shifted),0.3434343434343435
277,active (partial+q_cv),0.38383838383838387
278,active (partial+cons_cv),0.3434343434343435
279,sample everything,0.36363636363636365
280,active (partial),0.38383838383838387
281,active (shifted),0.3434343434343435
282,active (partial+q_cv),0.38383838383838387
283,active (partial+cons_cv),0.3434343434343435
284,sample everything,0.3434343434343435
285,active (partial),0.393939393939394
286,active (shifted),0.3535353535353536
287,active (partial+q_cv),0.38383838383838387
288,active (partial+cons_cv),0.37373737373737376
289,sample everything,0.38383838383838387
290,active (partial),0.37373737373737376
291,active (shifted),0.33333333333333337
292,active (partial+q_cv),0.37373737373737376
293,active (partial+cons_cv),0.36363636363636365
294,sample everything,0.3434343434343435
295,active (partial),0.37373737373737376
296,active (shifted),0.3434343434343435
297,active (partial+q_cv),0.4040404040404041
298,active (partial+cons_cv),0.3434343434343435
