,Method,$\widehat{\beta}$
0,active (partial),0.37373737373737376
1,active (shifted),0.3434343434343435
2,active (partial+q_cv),0.37373737373737376
3,active (partial+cons_cv),0.37373737373737376
4,sample everything,0.38383838383838387
5,active (partial),0.36363636363636365
6,active (shifted),0.33333333333333337
7,active (partial+q_cv),0.36363636363636365
8,active (partial+cons_cv),0.36363636363636365
9,sample everything,0.3535353535353536
10,active (partial),0.38383838383838387
11,active (shifted),0.3434343434343435
12,active (partial+q_cv),0.38383838383838387
13,active (partial+cons_cv),0.38383838383838387
14,sample everything,0.3535353535353536
15,active (partial),0.38383838383838387
16,active (shifted),0.32323232323232326
17,active (partial+q_cv),0.37373737373737376
18,active (partial+cons_cv),0.38383838383838387
19,sample everything,0.32323232323232326
20,active (partial),0.38383838383838387
21,active (shifted),0.3535353535353536
22,active (partial+q_cv),0.38383838383838387
23,active (partial+cons_cv),0.37373737373737376
24,sample everything,0.36363636363636365
25,active (partial),0.37373737373737376
26,active (shifted),0.3434343434343435
27,active (partial+q_cv),0.37373737373737376
28,active (partial+cons_cv),0.37373737373737376
29,sample everything,0.36363636363636365
30,active (partial),0.37373737373737376
31,active (shifted),0.33333333333333337
32,active (partial+q_cv),0.36363636363636365
33,active (partial+cons_cv),0.37373737373737376
34,sample everything,0.3434343434343435
35,active (partial),0.38383838383838387
36,active (shifted),0.3535353535353536
37,active (partial+q_cv),0.38383838383838387
38,active (partial+cons_cv),0.393939393939394
39,sample everything,0.36363636363636365
40,active (partial),0.36363636363636365
41,active (shifted),0.33333333333333337
42,active (partial+q_cv),0.36363636363636365
43,active (partial+cons_cv),0.38383838383838387
44,sample everything,0.3535353535353536
45,active (partial),0.37373737373737376
46,active (shifted),0.3434343434343435
47,active (partial+q_cv),0.37373737373737376
48,active (partial+cons_cv),0.37373737373737376
49,sample everything,0.37373737373737376
50,active (partial),0.393939393939394
51,active (shifted),0.36363636363636365
52,active (partial+q_cv),0.393939393939394
53,active (partial+cons_cv),0.393939393939394
54,sample everything,0.36363636363636365
55,active (partial),0.38383838383838387
56,active (shifted),0.3535353535353536
57,active (partial+q_cv),0.37373737373737376
58,active (partial+cons_cv),0.38383838383838387
59,sample everything,0.38383838383838387
60,active (partial),0.38383838383838387
61,active (shifted),0.3535353535353536
62,active (partial+q_cv),0.37373737373737376
63,active (partial+cons_cv),0.38383838383838387
64,sample everything,0.38383838383838387
65,active (partial),0.38383838383838387
66,active (shifted),0.3535353535353536
67,active (partial+q_cv),0.38383838383838387
68,active (partial+cons_cv),0.393939393939394
69,sample everything,0.38383838383838387
70,active (partial),0.38383838383838387
71,active (shifted),0.3535353535353536
72,active (partial+q_cv),0.37373737373737376
73,active (partial+cons_cv),0.38383838383838387
74,sample everything,0.36363636363636365
75,active (partial),0.38383838383838387
76,active (shifted),0.33333333333333337
77,active (partial+q_cv),0.37373737373737376
78,active (partial+cons_cv),0.38383838383838387
79,sample everything,0.3434343434343435
80,active (partial),0.37373737373737376
81,active (shifted),0.3434343434343435
82,active (partial+q_cv),0.37373737373737376
83,active (partial+cons_cv),0.38383838383838387
84,sample everything,0.36363636363636365
85,active (partial),0.38383838383838387
86,active (shifted),0.33333333333333337
87,active (partial+q_cv),0.37373737373737376
88,active (partial+cons_cv),0.37373737373737376
89,sample everything,0.37373737373737376
90,active (partial),0.38383838383838387
91,active (shifted),0.3434343434343435
92,active (partial+q_cv),0.37373737373737376
93,active (partial+cons_cv),0.38383838383838387
94,sample everything,0.37373737373737376
95,active (partial),0.38383838383838387
96,active (shifted),0.33333333333333337
97,active (partial+q_cv),0.37373737373737376
98,active (partial+cons_cv),0.38383838383838387
99,sample everything,0.33333333333333337
100,active (partial),0.37373737373737376
101,active (shifted),0.3434343434343435
102,active (partial+q_cv),0.36363636363636365
103,active (partial+cons_cv),0.38383838383838387
104,sample everything,0.36363636363636365
105,active (partial),0.38383838383838387
106,active (shifted),0.33333333333333337
107,active (partial+q_cv),0.36363636363636365
108,active (partial+cons_cv),0.38383838383838387
109,sample everything,0.36363636363636365
110,active (partial),0.38383838383838387
111,active (shifted),0.36363636363636365
112,active (partial+q_cv),0.38383838383838387
113,active (partial+cons_cv),0.393939393939394
114,sample everything,0.4040404040404041
115,active (partial),0.37373737373737376
116,active (shifted),0.33333333333333337
117,active (partial+q_cv),0.36363636363636365
118,active (partial+cons_cv),0.37373737373737376
119,sample everything,0.3535353535353536
120,active (partial),0.393939393939394
121,active (shifted),0.36363636363636365
122,active (partial+q_cv),0.393939393939394
123,active (partial+cons_cv),0.393939393939394
124,sample everything,0.38383838383838387
125,active (partial),0.36363636363636365
126,active (shifted),0.33333333333333337
127,active (partial+q_cv),0.36363636363636365
128,active (partial+cons_cv),0.36363636363636365
129,sample everything,0.3434343434343435
130,active (partial),0.38383838383838387
131,active (shifted),0.32323232323232326
132,active (partial+q_cv),0.37373737373737376
133,active (partial+cons_cv),0.38383838383838387
134,sample everything,0.32323232323232326
135,active (partial),0.38383838383838387
136,active (shifted),0.3434343434343435
137,active (partial+q_cv),0.38383838383838387
