,Method,$\widehat{\beta}$
0,active (partial),0.7474747474747475
1,active (shifted),0.7474747474747475
2,active (full),0.7474747474747475
3,oblivious (partial),0.787878787878788
4,sample everything,0.787878787878788
5,active (partial),0.787878787878788
6,active (shifted),0.8080808080808082
7,active (full),0.787878787878788
8,oblivious (partial),0.8282828282828284
9,sample everything,0.8484848484848485
10,active (partial),0.7575757575757577
11,active (shifted),0.7777777777777778
12,active (full),0.7575757575757577
13,oblivious (partial),0.8080808080808082
14,sample everything,0.8080808080808082
15,active (partial),0.787878787878788
16,active (shifted),0.787878787878788
17,active (full),0.787878787878788
18,oblivious (partial),0.797979797979798
19,sample everything,0.8080808080808082
20,active (partial),0.787878787878788
21,active (shifted),0.7777777777777778
22,active (full),0.7777777777777778
23,oblivious (partial),0.8080808080808082
24,sample everything,0.7777777777777778
25,active (partial),0.7676767676767677
26,active (shifted),0.787878787878788
27,active (full),0.7676767676767677
28,oblivious (partial),0.797979797979798
29,sample everything,0.8383838383838385
30,active (partial),0.7777777777777778
31,active (shifted),0.7777777777777778
32,active (full),0.7676767676767677
33,oblivious (partial),0.797979797979798
34,sample everything,0.8181818181818182
35,active (partial),0.7575757575757577
36,active (shifted),0.7676767676767677
37,active (full),0.7575757575757577
38,oblivious (partial),0.787878787878788
39,sample everything,0.7777777777777778
40,active (partial),0.7676767676767677
41,active (shifted),0.7777777777777778
42,active (full),0.7676767676767677
43,oblivious (partial),0.797979797979798
44,sample everything,0.8181818181818182
45,active (partial),0.787878787878788
46,active (shifted),0.797979797979798
47,active (full),0.7777777777777778
48,oblivious (partial),0.797979797979798
49,sample everything,0.8181818181818182
50,active (partial),0.787878787878788
51,active (shifted),0.7777777777777778
52,active (full),0.787878787878788
53,oblivious (partial),0.8181818181818182
54,sample everything,0.7777777777777778
55,active (partial),0.7777777777777778
56,active (shifted),0.797979797979798
57,active (full),0.787878787878788
58,oblivious (partial),0.797979797979798
59,sample everything,0.8282828282828284
60,active (partial),0.7676767676767677
61,active (shifted),0.787878787878788
62,active (full),0.7676767676767677
63,oblivious (partial),0.797979797979798
64,sample everything,0.8282828282828284
65,active (partial),0.7575757575757577
66,active (shifted),0.7777777777777778
67,active (full),0.7575757575757577
68,oblivious (partial),0.787878787878788
69,sample everything,0.8282828282828284
70,active (partial),0.7474747474747475
71,active (shifted),0.7777777777777778
72,active (full),0.7474747474747475
73,oblivious (partial),0.787878787878788
74,sample everything,0.8181818181818182
75,active (partial),0.7777777777777778
76,active (shifted),0.787878787878788
77,active (full),0.7676767676767677
78,oblivious (partial),0.797979797979798
79,sample everything,0.797979797979798
80,active (partial),0.7676767676767677
81,active (shifted),0.7575757575757577
82,active (full),0.7676767676767677
83,oblivious (partial),0.797979797979798
84,sample everything,0.7575757575757577
85,active (partial),0.7777777777777778
86,active (shifted),0.7777777777777778
87,active (full),0.7777777777777778
88,oblivious (partial),0.797979797979798
89,sample everything,0.7777777777777778
90,active (partial),0.787878787878788
91,active (shifted),0.787878787878788
92,active (full),0.7777777777777778
93,oblivious (partial),0.797979797979798
94,sample everything,0.797979797979798
95,active (partial),0.7676767676767677
96,active (shifted),0.787878787878788
97,active (full),0.7676767676767677
98,oblivious (partial),0.8181818181818182
99,sample everything,0.8181818181818182
100,active (partial),0.7676767676767677
101,active (shifted),0.7373737373737375
102,active (full),0.7575757575757577
