,Method,$\widehat{\beta}$
0,active (partial),0.8585858585858587
1,active (shifted),0.8686868686868687
2,active (full),0.8585858585858587
3,active (full+cocob),0.8585858585858587
4,oblivious (partial),0.8787878787878789
5,sample everything,0.8989898989898991
6,active (partial),0.8585858585858587
7,active (shifted),0.8787878787878789
8,active (full),0.8585858585858587
9,active (full+cocob),0.8585858585858587
10,oblivious (partial),0.888888888888889
11,sample everything,0.8989898989898991
12,active (partial),0.8686868686868687
13,active (shifted),0.8787878787878789
14,active (full),0.8787878787878789
15,active (full+cocob),0.8686868686868687
16,oblivious (partial),0.8989898989898991
17,sample everything,0.8989898989898991
18,active (partial),0.8585858585858587
19,active (shifted),0.8585858585858587
20,active (full),0.8585858585858587
21,active (full+cocob),0.8585858585858587
22,oblivious (partial),0.8787878787878789
23,sample everything,0.8686868686868687
24,active (partial),0.8585858585858587
25,active (shifted),0.8686868686868687
26,active (full),0.8585858585858587
27,active (full+cocob),0.8585858585858587
28,oblivious (partial),0.888888888888889
29,sample everything,0.8989898989898991
30,active (partial),0.8585858585858587
31,active (shifted),0.8686868686868687
32,active (full),0.8585858585858587
33,active (full+cocob),0.8585858585858587
34,oblivious (partial),0.8989898989898991
35,sample everything,0.888888888888889
36,active (partial),0.8585858585858587
37,active (shifted),0.8686868686868687
38,active (full),0.8585858585858587
39,active (full+cocob),0.8585858585858587
40,oblivious (partial),0.8989898989898991
41,sample everything,0.8989898989898991
42,active (partial),0.8787878787878789
43,active (shifted),0.8787878787878789
44,active (full),0.8787878787878789
45,active (full+cocob),0.8787878787878789
46,oblivious (partial),0.8989898989898991
47,sample everything,0.8787878787878789
48,active (partial),0.8686868686868687
49,active (shifted),0.8686868686868687
50,active (full),0.8686868686868687
51,active (full+cocob),0.8585858585858587
52,oblivious (partial),0.888888888888889
53,sample everything,0.8787878787878789
54,active (partial),0.8686868686868687
55,active (shifted),0.8787878787878789
56,active (full),0.8787878787878789
57,active (full+cocob),0.8686868686868687
58,oblivious (partial),0.888888888888889
59,sample everything,0.888888888888889
60,active (partial),0.8787878787878789
61,active (shifted),0.888888888888889
62,active (full),0.8787878787878789
63,active (full+cocob),0.8787878787878789
64,oblivious (partial),0.888888888888889
65,sample everything,0.8989898989898991
66,active (partial),0.8787878787878789
67,active (shifted),0.8787878787878789
68,active (full),0.8787878787878789
69,active (full+cocob),0.8686868686868687
70,oblivious (partial),0.9090909090909092
71,sample everything,0.888888888888889
72,active (partial),0.8484848484848485
