,Method,$\widehat{\beta}$
0,active (partial),0.8686868686868687
1,active (partial+cons_cv),0.8686868686868687
2,active (shifted),0.8787878787878789
3,active (full),0.8686868686868687
4,oblivious (partial),0.8585858585858587
5,sample everything,0.8989898989898991
6,active (partial),0.8686868686868687
7,active (partial+cons_cv),0.8585858585858587
8,active (shifted),0.8787878787878789
9,active (full),0.8585858585858587
10,oblivious (partial),0.8585858585858587
11,sample everything,0.8989898989898991
12,active (partial),0.8787878787878789
13,active (partial+cons_cv),0.8686868686868687
14,active (shifted),0.8787878787878789
15,active (full),0.8787878787878789
16,oblivious (partial),0.8686868686868687
17,sample everything,0.8989898989898991
18,active (partial),0.8585858585858587
19,active (partial+cons_cv),0.8585858585858587
20,active (shifted),0.8585858585858587
21,active (full),0.8585858585858587
22,oblivious (partial),0.8585858585858587
23,sample everything,0.8686868686868687
24,active (partial),0.8585858585858587
25,active (partial+cons_cv),0.8686868686868687
26,active (shifted),0.8686868686868687
27,active (full),0.8585858585858587
28,oblivious (partial),0.8585858585858587
29,sample everything,0.8989898989898991
30,active (partial),0.8585858585858587
31,active (partial+cons_cv),0.8686868686868687
32,active (shifted),0.8686868686868687
33,active (full),0.8585858585858587
34,oblivious (partial),0.8585858585858587
35,sample everything,0.888888888888889
36,active (partial),0.8585858585858587
37,active (partial+cons_cv),0.8686868686868687
38,active (shifted),0.8686868686868687
39,active (full),0.8585858585858587
40,oblivious (partial),0.8585858585858587
41,sample everything,0.8989898989898991
42,active (partial),0.8787878787878789
43,active (partial+cons_cv),0.8787878787878789
44,active (shifted),0.8787878787878789
45,active (full),0.8787878787878789
46,oblivious (partial),0.8787878787878789
47,sample everything,0.8787878787878789
48,active (partial),0.8686868686868687
49,active (partial+cons_cv),0.8686868686868687
50,active (shifted),0.8686868686868687
51,active (full),0.8686868686868687
52,oblivious (partial),0.8686868686868687
53,sample everything,0.8787878787878789
54,active (partial),0.8787878787878789
55,active (partial+cons_cv),0.8787878787878789
56,active (shifted),0.8787878787878789
57,active (full),0.8787878787878789
58,oblivious (partial),0.8787878787878789
59,sample everything,0.888888888888889
60,active (partial),0.8787878787878789
61,active (partial+cons_cv),0.8787878787878789
62,active (shifted),0.888888888888889
63,active (full),0.8787878787878789
64,oblivious (partial),0.8787878787878789
65,sample everything,0.8989898989898991
66,active (partial),0.888888888888889
67,active (partial+cons_cv),0.8787878787878789
68,active (shifted),0.888888888888889
69,active (full),0.8787878787878789
70,oblivious (partial),0.8787878787878789
71,sample everything,0.888888888888889
72,active (partial),0.8585858585858587
73,active (partial+cons_cv),0.8484848484848485
74,active (shifted),0.8484848484848485
75,active (full),0.8585858585858587
76,oblivious (partial),0.8585858585858587
77,sample everything,0.8484848484848485
78,active (partial),0.8686868686868687
79,active (partial+cons_cv),0.8787878787878789
80,active (shifted),0.8787878787878789
81,active (full),0.8686868686868687
82,oblivious (partial),0.8686868686868687
83,sample everything,0.888888888888889
84,active (partial),0.8686868686868687
85,active (partial+cons_cv),0.8686868686868687
86,active (shifted),0.888888888888889
87,active (full),0.8686868686868687
88,oblivious (partial),0.8585858585858587
89,sample everything,0.9090909090909092
90,active (partial),0.8787878787878789
91,active (partial+cons_cv),0.8787878787878789
92,active (shifted),0.8787878787878789
93,active (full),0.8787878787878789
94,oblivious (partial),0.8787878787878789
95,sample everything,0.888888888888889
96,active (partial),0.8686868686868687
97,active (partial+cons_cv),0.8686868686868687
98,active (shifted),0.8686868686868687
99,active (full),0.8686868686868687
100,oblivious (partial),0.8686868686868687
101,sample everything,0.888888888888889
102,active (partial),0.8585858585858587
103,active (partial+cons_cv),0.8484848484848485
104,active (shifted),0.8585858585858587
105,active (full),0.8585858585858587
106,oblivious (partial),0.8585858585858587
107,sample everything,0.8787878787878789
108,active (partial),0.8787878787878789
109,active (partial+cons_cv),0.8787878787878789
110,active (shifted),0.888888888888889
111,active (full),0.8787878787878789
112,oblivious (partial),0.8787878787878789
113,sample everything,0.9090909090909092
114,active (partial),0.8686868686868687
115,active (partial+cons_cv),0.8686868686868687
116,active (shifted),0.8686868686868687
117,active (full),0.8686868686868687
118,oblivious (partial),0.8686868686868687
119,sample everything,0.888888888888889
120,active (partial),0.8787878787878789
121,active (partial+cons_cv),0.888888888888889
122,active (shifted),0.888888888888889
123,active (full),0.8787878787878789
124,oblivious (partial),0.8686868686868687
125,sample everything,0.8989898989898991
126,active (partial),0.8585858585858587
127,active (partial+cons_cv),0.8787878787878789
128,active (shifted),0.8787878787878789
129,active (full),0.8585858585858587
130,oblivious (partial),0.8585858585858587
131,sample everything,0.9090909090909092
132,active (partial),0.8787878787878789
133,active (partial+cons_cv),0.8787878787878789
134,active (shifted),0.888888888888889
135,active (full),0.8787878787878789
136,oblivious (partial),0.8787878787878789
137,sample everything,0.8989898989898991
138,active (partial),0.8686868686868687
139,active (partial+cons_cv),0.8383838383838385
140,active (shifted),0.787878787878788
141,active (full),0.8585858585858587
142,oblivious (partial),0.8585858585858587
143,sample everything,0.787878787878788
144,active (partial),0.8787878787878789
145,active (partial+cons_cv),0.8787878787878789
146,active (shifted),0.8787878787878789
147,active (full),0.8686868686868687
148,oblivious (partial),0.8686868686868687
149,sample everything,0.888888888888889
150,active (partial),0.8686868686868687
151,active (partial+cons_cv),0.8282828282828284
152,active (shifted),0.8282828282828284
153,active (full),0.8686868686868687
154,oblivious (partial),0.8686868686868687
155,sample everything,0.8282828282828284
156,active (partial),0.8686868686868687
157,active (partial+cons_cv),0.8686868686868687
158,active (shifted),0.8686868686868687
159,active (full),0.8686868686868687
160,oblivious (partial),0.8686868686868687
161,sample everything,0.888888888888889
162,active (partial),0.8686868686868687
163,active (partial+cons_cv),0.8787878787878789
164,active (shifted),0.888888888888889
165,active (full),0.8585858585858587
166,oblivious (partial),0.8585858585858587
167,sample everything,0.8989898989898991
168,active (partial),0.8686868686868687
169,active (partial+cons_cv),0.8787878787878789
170,active (shifted),0.888888888888889
171,active (full),0.8686868686868687
172,oblivious (partial),0.8686868686868687
173,sample everything,0.9090909090909092
174,active (partial),0.8787878787878789
175,active (partial+cons_cv),0.8787878787878789
176,active (shifted),0.8989898989898991
177,active (full),0.8686868686868687
178,oblivious (partial),0.8686868686868687
179,sample everything,0.9191919191919192
180,active (partial),0.8686868686868687
181,active (partial+cons_cv),0.8585858585858587
182,active (shifted),0.8585858585858587
183,active (full),0.8686868686868687
184,oblivious (partial),0.8585858585858587
185,sample everything,0.8686868686868687
186,active (partial),0.8686868686868687
187,active (partial+cons_cv),0.8686868686868687
188,active (shifted),0.8787878787878789
189,active (full),0.8686868686868687
190,oblivious (partial),0.8686868686868687
191,sample everything,0.8989898989898991
192,active (partial),0.8787878787878789
193,active (partial+cons_cv),0.8585858585858587
194,active (shifted),0.8282828282828284
195,active (full),0.8686868686868687
196,oblivious (partial),0.8686868686868687
197,sample everything,0.8282828282828284
198,active (partial),0.8686868686868687
199,active (partial+cons_cv),0.8686868686868687
200,active (shifted),0.8787878787878789
201,active (full),0.8686868686868687
202,oblivious (partial),0.8585858585858587
203,sample everything,0.8989898989898991
204,active (partial),0.8787878787878789
205,active (partial+cons_cv),0.888888888888889
206,active (shifted),0.888888888888889
207,active (full),0.8787878787878789
208,oblivious (partial),0.8787878787878789
209,sample everything,0.8989898989898991
210,active (partial),0.8686868686868687
211,active (partial+cons_cv),0.8787878787878789
212,active (shifted),0.8787878787878789
213,active (full),0.8686868686868687
214,oblivious (partial),0.8585858585858587
215,sample everything,0.9090909090909092
216,active (partial),0.8686868686868687
217,active (partial+cons_cv),0.8686868686868687
218,active (shifted),0.8787878787878789
219,active (full),0.8686868686868687
220,oblivious (partial),0.8686868686868687
221,sample everything,0.8989898989898991
222,active (partial),0.8585858585858587
223,active (partial+cons_cv),0.8484848484848485
224,active (shifted),0.8585858585858587
225,active (full),0.8585858585858587
226,oblivious (partial),0.8484848484848485
227,sample everything,0.8585858585858587
228,active (partial),0.8686868686868687
229,active (partial+cons_cv),0.8686868686868687
230,active (shifted),0.8686868686868687
231,active (full),0.8686868686868687
232,oblivious (partial),0.8686868686868687
233,sample everything,0.888888888888889
234,active (partial),0.8787878787878789
235,active (partial+cons_cv),0.8787878787878789
236,active (shifted),0.888888888888889
237,active (full),0.8787878787878789
238,oblivious (partial),0.8686868686868687
239,sample everything,0.8989898989898991
240,active (partial),0.8484848484848485
241,active (partial+cons_cv),0.8383838383838385
242,active (shifted),0.8383838383838385
243,active (full),0.8383838383838385
244,oblivious (partial),0.8484848484848485
245,sample everything,0.8585858585858587
