,index,Method,$\widehat{\beta}$
0,0,active (partial),0.8787878787878789
1,1,active (partial+cons_cv),0.8686868686868687
2,2,active (shifted),0.8787878787878789
3,3,active (full),0.8787878787878789
4,4,sample everything,0.8989898989898991
5,5,oblivious (partial),0.8787878787878789
6,0,active (partial),0.8585858585858587
7,1,active (partial+cons_cv),0.8585858585858587
8,2,active (shifted),0.8585858585858587
9,3,active (full),0.8585858585858587
10,4,sample everything,0.8686868686868687
11,5,oblivious (partial),0.8787878787878789
12,0,active (partial),0.8686868686868687
13,1,active (partial+cons_cv),0.8585858585858587
14,2,active (shifted),0.8787878787878789
15,3,active (full),0.8585858585858587
16,4,sample everything,0.8989898989898991
17,5,oblivious (partial),0.8585858585858587
18,0,active (partial),0.8686868686868687
19,1,active (partial+cons_cv),0.8686868686868687
20,2,active (shifted),0.8787878787878789
21,3,active (full),0.8686868686868687
22,4,sample everything,0.8989898989898991
23,5,oblivious (partial),0.8585858585858587
24,0,active (partial),0.8585858585858587
25,1,active (partial+cons_cv),0.8686868686868687
26,2,active (shifted),0.8686868686868687
27,3,active (full),0.8585858585858587
28,4,sample everything,0.888888888888889
29,5,oblivious (partial),0.888888888888889
30,0,active (partial),0.8585858585858587
31,1,active (partial+cons_cv),0.8686868686868687
32,2,active (shifted),0.8686868686868687
33,3,active (full),0.8585858585858587
34,4,sample everything,0.8989898989898991
35,5,oblivious (partial),0.8686868686868687
36,0,active (partial),0.8787878787878789
37,1,active (partial+cons_cv),0.8787878787878789
38,2,active (shifted),0.8787878787878789
39,3,active (full),0.8787878787878789
40,4,sample everything,0.8787878787878789
41,5,oblivious (partial),0.8585858585858587
42,0,active (partial),0.8585858585858587
43,1,active (partial+cons_cv),0.8686868686868687
44,2,active (shifted),0.8686868686868687
45,3,active (full),0.8585858585858587
46,4,sample everything,0.8989898989898991
47,5,oblivious (partial),0.8686868686868687
48,0,active (partial),0.8787878787878789
49,1,active (partial+cons_cv),0.8787878787878789
50,2,active (shifted),0.8787878787878789
51,3,active (full),0.8787878787878789
52,4,sample everything,0.888888888888889
53,5,oblivious (partial),0.8787878787878789
54,0,active (partial),0.8686868686868687
55,1,active (partial+cons_cv),0.8686868686868687
56,2,active (shifted),0.8686868686868687
57,3,active (full),0.8686868686868687
58,4,sample everything,0.8787878787878789
59,5,oblivious (partial),0.8787878787878789
60,0,active (partial),0.8787878787878789
61,1,active (partial+cons_cv),0.8787878787878789
62,2,active (shifted),0.888888888888889
63,3,active (full),0.8787878787878789
64,4,sample everything,0.8989898989898991
65,5,oblivious (partial),0.8989898989898991
66,0,active (partial),0.888888888888889
67,1,active (partial+cons_cv),0.8787878787878789
68,2,active (shifted),0.888888888888889
69,3,active (full),0.8787878787878789
70,4,sample everything,0.888888888888889
71,5,oblivious (partial),0.8686868686868687
