,Method,$\widehat{\beta}$
0,active (partial),0.8686868686868687
1,active (partial+cons_cv),0.8585858585858587
2,active (shifted),0.8686868686868687
3,oblivious (partial),0.8585858585858587
4,active (partial),0.8787878787878789
5,active (partial+cons_cv),0.8787878787878789
6,active (shifted),0.8787878787878789
7,oblivious (partial),0.8686868686868687
8,active (partial),0.8989898989898991
9,active (partial+cons_cv),0.888888888888889
10,active (shifted),0.888888888888889
11,oblivious (partial),0.8787878787878789
12,active (partial),0.888888888888889
13,active (partial+cons_cv),0.888888888888889
14,active (shifted),0.888888888888889
15,oblivious (partial),0.888888888888889
16,active (partial),0.8787878787878789
17,active (partial+cons_cv),0.8585858585858587
18,active (shifted),0.8787878787878789
19,oblivious (partial),0.8686868686868687
20,active (partial),0.8989898989898991
21,active (partial+cons_cv),0.9090909090909092
22,active (shifted),0.8989898989898991
23,oblivious (partial),0.8989898989898991
24,active (partial),0.888888888888889
25,active (partial+cons_cv),0.888888888888889
26,active (shifted),0.8787878787878789
27,oblivious (partial),0.8787878787878789
28,active (partial),0.8787878787878789
29,active (partial+cons_cv),0.8686868686868687
30,active (shifted),0.8787878787878789
31,oblivious (partial),0.8686868686868687
32,active (partial),0.8989898989898991
33,active (partial+cons_cv),0.8787878787878789
34,active (shifted),0.8989898989898991
35,oblivious (partial),0.888888888888889
36,active (partial),0.888888888888889
37,active (partial+cons_cv),0.8989898989898991
38,active (shifted),0.888888888888889
39,oblivious (partial),0.8989898989898991
40,active (partial),0.9090909090909092
41,active (partial+cons_cv),0.8989898989898991
42,active (shifted),0.9090909090909092
43,oblivious (partial),0.8989898989898991
44,active (partial),0.888888888888889
45,active (partial+cons_cv),0.888888888888889
46,active (shifted),0.888888888888889
47,oblivious (partial),0.888888888888889
48,active (partial),0.8787878787878789
49,active (partial+cons_cv),0.888888888888889
50,active (shifted),0.8787878787878789
51,oblivious (partial),0.8787878787878789
52,active (partial),0.8686868686868687
53,active (partial+cons_cv),0.8686868686868687
54,active (shifted),0.8686868686868687
55,oblivious (partial),0.8686868686868687
56,active (partial),0.8686868686868687
57,active (partial+cons_cv),0.8686868686868687
58,active (shifted),0.8686868686868687
59,oblivious (partial),0.8585858585858587
60,active (partial),0.888888888888889
61,active (partial+cons_cv),0.888888888888889
62,active (shifted),0.8787878787878789
63,oblivious (partial),0.888888888888889
64,active (partial),0.8686868686868687
65,active (partial+cons_cv),0.8585858585858587
66,active (shifted),0.8585858585858587
67,oblivious (partial),0.8484848484848485
68,active (partial),0.888888888888889
69,active (partial+cons_cv),0.8787878787878789
70,active (shifted),0.888888888888889
71,oblivious (partial),0.888888888888889
72,active (partial),0.888888888888889
73,active (partial+cons_cv),0.888888888888889
74,active (shifted),0.888888888888889
75,oblivious (partial),0.8989898989898991
76,active (partial),0.8787878787878789
77,active (partial+cons_cv),0.8383838383838385
78,active (shifted),0.8787878787878789
79,oblivious (partial),0.8383838383838385
80,active (partial),0.8989898989898991
81,active (partial+cons_cv),0.8989898989898991
82,active (shifted),0.8989898989898991
83,oblivious (partial),0.8989898989898991
84,active (partial),0.9090909090909092
85,active (partial+cons_cv),0.9090909090909092
86,active (shifted),0.8989898989898991
87,oblivious (partial),0.9090909090909092
88,active (partial),0.888888888888889
89,active (partial+cons_cv),0.888888888888889
90,active (shifted),0.8787878787878789
91,oblivious (partial),0.888888888888889
92,active (partial),0.8686868686868687
93,active (partial+cons_cv),0.8585858585858587
94,active (shifted),0.8686868686868687
95,oblivious (partial),0.8686868686868687
96,active (partial),0.888888888888889
97,active (partial+cons_cv),0.8383838383838385
98,active (shifted),0.8787878787878789
99,oblivious (partial),0.8383838383838385
100,active (partial),0.8787878787878789
101,active (partial+cons_cv),0.8787878787878789
102,active (shifted),0.8787878787878789
103,oblivious (partial),0.8787878787878789
104,active (partial),0.8585858585858587
105,active (partial+cons_cv),0.8686868686868687
106,active (shifted),0.8484848484848485
107,oblivious (partial),0.8484848484848485
108,active (partial),0.8686868686868687
109,active (partial+cons_cv),0.8585858585858587
110,active (shifted),0.8585858585858587
111,oblivious (partial),0.8686868686868687
112,active (partial),0.888888888888889
113,active (partial+cons_cv),0.8787878787878789
114,active (shifted),0.8787878787878789
115,oblivious (partial),0.8989898989898991
116,active (partial),0.8989898989898991
117,active (partial+cons_cv),0.888888888888889
118,active (shifted),0.888888888888889
119,oblivious (partial),0.888888888888889
120,active (partial),0.888888888888889
121,active (partial+cons_cv),0.8787878787878789
122,active (shifted),0.8787878787878789
123,oblivious (partial),0.8787878787878789
124,active (partial),0.8787878787878789
125,active (partial+cons_cv),0.8686868686868687
126,active (shifted),0.8787878787878789
127,oblivious (partial),0.8787878787878789
128,active (partial),0.9090909090909092
129,active (partial+cons_cv),0.9090909090909092
130,active (shifted),0.8989898989898991
131,oblivious (partial),0.9090909090909092
132,active (partial),0.888888888888889
133,active (partial+cons_cv),0.888888888888889
134,active (shifted),0.888888888888889
135,oblivious (partial),0.8585858585858587
136,active (partial),0.8989898989898991
137,active (partial+cons_cv),0.888888888888889
138,active (shifted),0.888888888888889
139,oblivious (partial),0.888888888888889
140,active (partial),0.8787878787878789
141,active (partial+cons_cv),0.8585858585858587
142,active (shifted),0.8787878787878789
143,oblivious (partial),0.8383838383838385
144,active (partial),0.888888888888889
145,active (partial+cons_cv),0.8686868686868687
146,active (shifted),0.8787878787878789
147,oblivious (partial),0.8585858585858587
148,active (partial),0.8787878787878789
149,active (partial+cons_cv),0.8585858585858587
150,active (shifted),0.8686868686868687
151,oblivious (partial),0.8585858585858587
152,active (partial),0.8585858585858587
153,active (partial+cons_cv),0.8585858585858587
154,active (shifted),0.8585858585858587
155,oblivious (partial),0.8383838383838385
156,active (partial),0.888888888888889
157,active (partial+cons_cv),0.8787878787878789
158,active (shifted),0.888888888888889
159,oblivious (partial),0.888888888888889
160,active (partial),0.8787878787878789
161,active (partial+cons_cv),0.888888888888889
162,active (shifted),0.8787878787878789
163,oblivious (partial),0.888888888888889
164,active (partial),0.8787878787878789
165,active (partial+cons_cv),0.8787878787878789
166,active (shifted),0.8787878787878789
167,oblivious (partial),0.8585858585858587
168,active (partial),0.8787878787878789
169,active (partial+cons_cv),0.8787878787878789
170,active (shifted),0.8787878787878789
171,oblivious (partial),0.8787878787878789
172,active (partial),0.8787878787878789
173,active (partial+cons_cv),0.8787878787878789
174,active (shifted),0.8686868686868687
175,oblivious (partial),0.8787878787878789
176,active (partial),0.8989898989898991
177,active (partial+cons_cv),0.8686868686868687
178,active (shifted),0.888888888888889
179,oblivious (partial),0.8585858585858587
180,active (partial),0.8787878787878789
181,active (partial+cons_cv),0.8585858585858587
182,active (shifted),0.8686868686868687
183,oblivious (partial),0.8383838383838385
184,active (partial),0.888888888888889
185,active (partial+cons_cv),0.888888888888889
186,active (shifted),0.8787878787878789
187,oblivious (partial),0.8787878787878789
188,active (partial),0.888888888888889
189,active (partial+cons_cv),0.8686868686868687
190,active (shifted),0.8787878787878789
191,oblivious (partial),0.8787878787878789
192,active (partial),0.8787878787878789
193,active (partial+cons_cv),0.8686868686868687
194,active (shifted),0.8686868686868687
195,oblivious (partial),0.8585858585858587
196,active (partial),0.8787878787878789
197,active (partial+cons_cv),0.8686868686868687
198,active (shifted),0.8787878787878789
199,oblivious (partial),0.8686868686868687
200,active (partial),0.8787878787878789
201,active (partial+cons_cv),0.8787878787878789
202,active (shifted),0.8787878787878789
203,oblivious (partial),0.8787878787878789
204,active (partial),0.8787878787878789
205,active (partial+cons_cv),0.8484848484848485
206,active (shifted),0.8686868686868687
207,oblivious (partial),0.8484848484848485
208,active (partial),0.9090909090909092
209,active (partial+cons_cv),0.9090909090909092
210,active (shifted),0.8989898989898991
211,oblivious (partial),0.9090909090909092
212,active (partial),0.888888888888889
213,active (partial+cons_cv),0.8989898989898991
214,active (shifted),0.888888888888889
215,oblivious (partial),0.8787878787878789
216,active (partial),0.888888888888889
217,active (partial+cons_cv),0.8787878787878789
218,active (shifted),0.8787878787878789
219,oblivious (partial),0.8787878787878789
220,active (partial),0.888888888888889
221,active (partial+cons_cv),0.8787878787878789
222,active (shifted),0.8787878787878789
223,oblivious (partial),0.8787878787878789
224,active (partial),0.8686868686868687
225,active (partial+cons_cv),0.8585858585858587
226,active (shifted),0.8686868686868687
227,oblivious (partial),0.8585858585858587
228,active (partial),0.888888888888889
229,active (partial+cons_cv),0.787878787878788
230,active (shifted),0.888888888888889
231,oblivious (partial),0.888888888888889
232,active (partial),0.888888888888889
233,active (partial+cons_cv),0.8989898989898991
234,active (shifted),0.888888888888889
235,oblivious (partial),0.888888888888889
236,active (partial),0.888888888888889
237,active (partial+cons_cv),0.8686868686868687
238,active (shifted),0.888888888888889
239,oblivious (partial),0.8686868686868687
240,active (partial),0.8989898989898991
241,active (partial+cons_cv),0.888888888888889
242,active (shifted),0.8989898989898991
243,oblivious (partial),0.8989898989898991
244,active (partial),0.888888888888889
245,active (partial+cons_cv),0.888888888888889
246,active (shifted),0.8787878787878789
247,oblivious (partial),0.888888888888889
248,active (partial),0.888888888888889
249,active (partial+cons_cv),0.888888888888889
250,active (shifted),0.8787878787878789
251,oblivious (partial),0.8686868686868687
252,active (partial),0.8989898989898991
253,active (partial+cons_cv),0.8989898989898991
254,active (shifted),0.888888888888889
255,oblivious (partial),0.8989898989898991
256,active (partial),0.8787878787878789
257,active (partial+cons_cv),0.8686868686868687
258,active (shifted),0.8787878787878789
259,oblivious (partial),0.8686868686868687
260,active (partial),0.9090909090909092
261,active (partial+cons_cv),0.8787878787878789
262,active (shifted),0.8989898989898991
263,oblivious (partial),0.8787878787878789
264,active (partial),0.8989898989898991
265,active (partial+cons_cv),0.888888888888889
266,active (shifted),0.8989898989898991
267,oblivious (partial),0.8989898989898991
268,active (partial),0.8787878787878789
269,active (partial+cons_cv),0.8686868686868687
270,active (shifted),0.8787878787878789
271,oblivious (partial),0.8787878787878789
272,active (partial),0.8989898989898991
273,active (partial+cons_cv),0.8989898989898991
274,active (shifted),0.8989898989898991
