,Method,$\widehat{\beta}$
0,active (partial),0.8484848484848485
1,active (shifted),0.8585858585858587
2,active (full),0.8484848484848485
3,oblivious (partial),0.888888888888889
4,sample everything,0.888888888888889
5,active (partial),0.8787878787878789
6,active (shifted),0.8989898989898991
7,active (full),0.8787878787878789
8,oblivious (partial),0.8989898989898991
9,sample everything,0.9090909090909092
10,active (partial),0.8585858585858587
11,active (shifted),0.8686868686868687
12,active (full),0.8484848484848485
13,oblivious (partial),0.888888888888889
14,sample everything,0.8989898989898991
15,active (partial),0.8787878787878789
16,active (shifted),0.888888888888889
17,active (full),0.8686868686868687
18,oblivious (partial),0.8989898989898991
19,sample everything,0.8989898989898991
20,active (partial),0.8686868686868687
21,active (shifted),0.8686868686868687
22,active (full),0.8686868686868687
23,oblivious (partial),0.8989898989898991
24,sample everything,0.8686868686868687
25,active (partial),0.8585858585858587
26,active (shifted),0.8787878787878789
27,active (full),0.8585858585858587
28,oblivious (partial),0.8989898989898991
29,sample everything,0.9090909090909092
30,active (partial),0.8686868686868687
31,active (shifted),0.8787878787878789
32,active (full),0.8686868686868687
33,oblivious (partial),0.888888888888889
34,sample everything,0.9090909090909092
35,active (partial),0.8585858585858587
36,active (shifted),0.8686868686868687
37,active (full),0.8585858585858587
38,oblivious (partial),0.8787878787878789
39,sample everything,0.8686868686868687
40,active (partial),0.8585858585858587
41,active (shifted),0.8686868686868687
42,active (full),0.8585858585858587
43,oblivious (partial),0.888888888888889
44,sample everything,0.8989898989898991
45,active (partial),0.8787878787878789
46,active (shifted),0.888888888888889
47,active (full),0.8787878787878789
48,oblivious (partial),0.8989898989898991
49,sample everything,0.8989898989898991
50,active (partial),0.8787878787878789
51,active (shifted),0.8686868686868687
52,active (full),0.8787878787878789
53,oblivious (partial),0.8989898989898991
54,sample everything,0.8686868686868687
55,active (partial),0.8787878787878789
56,active (shifted),0.888888888888889
57,active (full),0.8686868686868687
58,oblivious (partial),0.8989898989898991
59,sample everything,0.9090909090909092
60,active (partial),0.8686868686868687
61,active (shifted),0.8787878787878789
62,active (full),0.8585858585858587
63,oblivious (partial),0.8989898989898991
64,sample everything,0.9090909090909092
65,active (partial),0.8585858585858587
66,active (shifted),0.8686868686868687
67,active (full),0.8585858585858587
68,oblivious (partial),0.8787878787878789
69,sample everything,0.9090909090909092
70,active (partial),0.8585858585858587
71,active (shifted),0.8686868686868687
72,active (full),0.8484848484848485
73,oblivious (partial),0.8686868686868687
74,sample everything,0.8989898989898991
75,active (partial),0.8686868686868687
76,active (shifted),0.8787878787878789
77,active (full),0.8686868686868687
78,oblivious (partial),0.888888888888889
79,sample everything,0.888888888888889
80,active (partial),0.8686868686868687
81,active (shifted),0.8484848484848485
82,active (full),0.8686868686868687
83,oblivious (partial),0.888888888888889
84,sample everything,0.8484848484848485
85,active (partial),0.8686868686868687
86,active (shifted),0.8585858585858587
87,active (full),0.8686868686868687
88,oblivious (partial),0.888888888888889
89,sample everything,0.8585858585858587
90,active (partial),0.8787878787878789
91,active (shifted),0.888888888888889
92,active (full),0.8787878787878789
93,oblivious (partial),0.888888888888889
94,sample everything,0.8989898989898991
95,active (partial),0.8686868686868687
96,active (shifted),0.8787878787878789
97,active (full),0.8585858585858587
98,oblivious (partial),0.8989898989898991
99,sample everything,0.8989898989898991
100,active (partial),0.8585858585858587
101,active (shifted),0.8282828282828284
102,active (full),0.8585858585858587
103,oblivious (partial),0.8787878787878789
104,sample everything,0.8282828282828284
105,active (partial),0.8787878787878789
106,active (shifted),0.888888888888889
107,active (full),0.8787878787878789
108,oblivious (partial),0.9090909090909092
109,sample everything,0.9292929292929294
110,active (partial),0.8585858585858587
111,active (shifted),0.8686868686868687
112,active (full),0.8585858585858587
113,oblivious (partial),0.888888888888889
114,sample everything,0.8989898989898991
115,active (partial),0.8787878787878789
116,active (shifted),0.8989898989898991
117,active (full),0.8787878787878789
118,oblivious (partial),0.9191919191919192
119,sample everything,0.9191919191919192
120,active (partial),0.8686868686868687
121,active (shifted),0.8686868686868687
122,active (full),0.8686868686868687
123,oblivious (partial),0.8787878787878789
124,sample everything,0.888888888888889
125,active (partial),0.888888888888889
126,active (shifted),0.888888888888889
127,active (full),0.8787878787878789
128,oblivious (partial),0.8989898989898991
129,sample everything,0.8989898989898991
130,active (partial),0.8686868686868687
131,active (shifted),0.8787878787878789
132,active (full),0.8686868686868687
133,oblivious (partial),0.8787878787878789
134,sample everything,0.8989898989898991
135,active (partial),0.8686868686868687
136,active (shifted),0.8686868686868687
137,active (full),0.8686868686868687
138,oblivious (partial),0.8787878787878789
139,sample everything,0.8787878787878789
140,active (partial),0.8585858585858587
141,active (shifted),0.8686868686868687
142,active (full),0.8585858585858587
143,oblivious (partial),0.8787878787878789
144,sample everything,0.888888888888889
145,active (partial),0.8787878787878789
146,active (shifted),0.888888888888889
147,active (full),0.8686868686868687
148,oblivious (partial),0.8989898989898991
149,sample everything,0.8989898989898991
150,active (partial),0.8686868686868687
151,active (shifted),0.8686868686868687
152,active (full),0.8686868686868687
153,oblivious (partial),0.8787878787878789
154,sample everything,0.888888888888889
155,active (partial),0.8787878787878789
156,active (shifted),0.888888888888889
157,active (full),0.8787878787878789
158,oblivious (partial),0.8989898989898991
159,sample everything,0.8989898989898991
